Title,URL,Description
'90s Directorial Debuts,https://screendrafts.fandom.com/wiki/%2790s_Directorial_Debuts,"**""'90s Directorial Debuts""** is the 190th episode of Screen Drafts . Guest G.M.s Mark Harris and Adam B. Vary selected the seven best directorial debuts of the 1990s."
'90s Directorial Debuts,https://screendrafts.fandom.com/wiki/%2790s_Directorial_Debuts,"**""'90s Directorial Debuts""** is the 190th episode of Screen Drafts . Guest G.M.s Mark Harris and Adam B. Vary selected the seven best directorial debuts of the 1990s."
'90s School Rom-Coms,https://screendrafts.fandom.com/wiki/%2790s_School_Rom-Coms,"**""'90s School Rom-Coms""** is the 325th episode of Screen Drafts . Guest G.M.s Phil Iscove and Esther Zuckerman ranked the seven best 'school aged' romantic comedies from the 1990s."
'90s School Rom-Coms,https://screendrafts.fandom.com/wiki/%2790s_School_Rom-Coms,"**""'90s School Rom-Coms""** is the 325th episode of Screen Drafts . Guest G.M.s Phil Iscove and Esther Zuckerman ranked the seven best 'school aged' romantic comedies from the 1990s."
'90s Sports mini-Mega,https://screendrafts.fandom.com/wiki/%2790s_Sports_mini-Mega,"**""'90s Sports mini-Mega""** is the 297th episode of Screen Drafts . Guest G.M.s Alan Sepinwall , Jen Yamato , Daniel Fienberg and Linda Holmes selected the 13 best films about sports released in the 1990s."
'90s Sports mini-Mega,https://screendrafts.fandom.com/wiki/%2790s_Sports_mini-Mega,"**""'90s Sports mini-Mega""** is the 297th episode of Screen Drafts . Guest G.M.s Alan Sepinwall , Jen Yamato , Daniel Fienberg and Linda Holmes selected the 13 best films about sports released in the 1990s."
'90s Superhero,https://screendrafts.fandom.com/wiki/%2790s_Superhero,"**""'90s Superhero""** is the 244th episode of Screen Drafts . Guest G.M.s Dave Schilling and Darren Franich selected the seven best movies about Superheroes from the 1990s."
'90s Superhero,https://screendrafts.fandom.com/wiki/%2790s_Superhero,"**""'90s Superhero""** is the 244th episode of Screen Drafts . Guest G.M.s Dave Schilling and Darren Franich selected the seven best movies about Superheroes from the 1990s."
1939 mini-Mega,https://screendrafts.fandom.com/wiki/1939_mini-Mega,"**""1939 mini-Mega""** is the 288th episode of Screen Drafts . Guest G.M.s Bryan Cogman , Oriana Nudo and Maureen Lee Lenker selected the 13 best films released in 1939."
1939 mini-Mega,https://screendrafts.fandom.com/wiki/1939_mini-Mega,"**""1939 mini-Mega""** is the 288th episode of Screen Drafts . Guest G.M.s Bryan Cogman , Oriana Nudo and Maureen Lee Lenker selected the 13 best films released in 1939."
1975 Best Picture Nominees mini-Super Draft,https://screendrafts.fandom.com/wiki/1975_Best_Picture_Nominees_mini-Super_Draft,"**""The 1975 Best Picture Nominees mini-Super Draft""** is the first episode of an annual spinoff series from the Screen Drafts Patreon Franchise mini-Super Drafts . Clay Keller and Clay Keller ranked the five movies nominated for Best Picture in 1975 ."
1975 Best Picture Nominees mini-Super Draft,https://screendrafts.fandom.com/wiki/1975_Best_Picture_Nominees_mini-Super_Draft,"**""The 1975 Best Picture Nominees mini-Super Draft""** is the first episode of an annual spinoff series from the Screen Drafts Patreon Franchise mini-Super Drafts . Clay Keller and Clay Keller ranked the five movies nominated for Best Picture in 1975 ."
1977 Horror,https://screendrafts.fandom.com/wiki/1977_Horror,"**""'1977 Horror""** is the 300th episode of Screen Drafts . Guest G.M.s Billy Ray Brewton and Kyle Anderson selected the seven best films horror films released in 1977 ."
1977 Horror,https://screendrafts.fandom.com/wiki/1977_Horror,"**""'1977 Horror""** is the 300th episode of Screen Drafts . Guest G.M.s Billy Ray Brewton and Kyle Anderson selected the seven best films horror films released in 1977 ."
1992 Horror,https://screendrafts.fandom.com/wiki/1992_Horror,"**""1992 Horror""** is the 67th episode of Screen Drafts . Guest G.M.s Joe Begos and Graham Skipper selected the seven best horror movies of 1992.

Twin Peaks: Fire Walk with Me became the 54th film to join the Marquee of Fame."
1992 Horror,https://screendrafts.fandom.com/wiki/1992_Horror,"**""1992 Horror""** is the 67th episode of Screen Drafts . Guest G.M.s Joe Begos and Graham Skipper selected the seven best horror movies of 1992.

Twin Peaks: Fire Walk with Me became the 54th film to join the Marquee of Fame."
1994 mini-Mega,https://screendrafts.fandom.com/wiki/1994_mini-Mega,"**""1994 mini-Mega""** is the 292nd episode of Screen Drafts . Guest G.M.s Drew McWeeny , Drea Clark and Billy Ray Brewton selected the 13 best films released in the United States in 1994. Frank Berman was the draft's official sponsor."
1994 mini-Mega,https://screendrafts.fandom.com/wiki/1994_mini-Mega,"**""1994 mini-Mega""** is the 292nd episode of Screen Drafts . Guest G.M.s Drew McWeeny , Drea Clark and Billy Ray Brewton selected the 13 best films released in the United States in 1994. Frank Berman was the draft's official sponsor."
1997 Mini-Mega,https://screendrafts.fandom.com/wiki/1997_Mini-Mega,"**""1997 Mini-Mega""** is the 187th episode of Screen Drafts . Guest G.M.s Katey Rich , Wynter Mitchell and Kristy Puchko and commissioner Clay Keller selected the 13 best movies released in the United States in 1997. Ryan Marker served as commissioner for this draft, with Guest Co-Commissioner Bryan Cogman ."
1997 Mini-Mega,https://screendrafts.fandom.com/wiki/1997_Mini-Mega,"**""1997 Mini-Mega""** is the 187th episode of Screen Drafts . Guest G.M.s Katey Rich , Wynter Mitchell and Kristy Puchko and commissioner Clay Keller selected the 13 best movies released in the United States in 1997. Ryan Marker served as commissioner for this draft, with Guest Co-Commissioner Bryan Cogman ."
1998 mini-Mega,https://screendrafts.fandom.com/wiki/1998_mini-Mega,"**""1998 mini-Mega""** is the 251st episode of Screen Drafts . Commissioner Clay Keller was joined by Helen Shang , Karen Tongson and Thomas Grabinski to rank the 13 best films from 1998. It is a sequel draft to 1997 Mini-Mega ."
1998 mini-Mega,https://screendrafts.fandom.com/wiki/1998_mini-Mega,"**""1998 mini-Mega""** is the 251st episode of Screen Drafts . Commissioner Clay Keller was joined by Helen Shang , Karen Tongson and Thomas Grabinski to rank the 13 best films from 1998. It is a sequel draft to 1997 Mini-Mega ."
1999 (episode),https://screendrafts.fandom.com/wiki/1999_(episode),"**""1999""** is the 37th episode of Screen Drafts . Host Clay Keller and co-commissioner and color commentator Ryan Marker selected the seven best films of 1999. this episode was guest hosted and commissioned by Billy Ray Brewton .

Notting Hill became the 12th film to join the Marquee of Fame when it was selected at No. 7."
