drafter_id,draft_id
dde00453-0852-41eb-b978-80a39ef83ad0,878eb446-72a0-4b08-aa9d-a165ae0ec6c1
58da69ee-15ed-46f1-a8e2-d89feccd768f,878eb446-72a0-4b08-aa9d-a165ae0ec6c1
c1d4eec2-0cdf-4336-870c-12a4f0948fca,ea8a8ef5-6372-4faf-a73f-eb0512abef2e
899cab19-86d2-4022-b615-8c4c9dec9db9,ea8a8ef5-6372-4faf-a73f-eb0512abef2e
9659bda8-236b-44ce-a244-e9f32748b7a0,302b2148-cc0f-4e7e-8f3b-b2ef762dab74
4e4b17bc-150a-4e99-a2a3-4b6475d42d44,302b2148-cc0f-4e7e-8f3b-b2ef762dab74
58207226-03a8-4883-bf00-338eb5124042,5c9b1a87-8a97-49d6-b24a-eec66c9e45fb
5931091f-4c76-42d8-84dc-96bec9e3d597,5c9b1a87-8a97-49d6-b24a-eec66c9e45fb
81937b1d-0621-4f38-b962-a4c1e476911c,53ca0528-d400-4006-b085-bb611e964d43
dde00453-0852-41eb-b978-80a39ef83ad0,53ca0528-d400-4006-b085-bb611e964d43
5931091f-4c76-42d8-84dc-96bec9e3d597,9e7dece2-c9d3-4756-9126-1a9beeba7d4b
5fe205b1-86d8-438c-9ea5-84447e521562,9e7dece2-c9d3-4756-9126-1a9beeba7d4b
f84ec475-cba0-4525-a786-ccea39b90167,3ae28710-af89-4d61-8e1b-d5d252e166b1
c1d4eec2-0cdf-4336-870c-12a4f0948fca,3ae28710-af89-4d61-8e1b-d5d252e166b1
669cebfa-73d4-494d-b3fb-8e8634548991,1bde2149-1f79-4e9d-b90c-150789c1a2c8
6079d86e-cb44-4c58-adf0-c6e72f663069,1bde2149-1f79-4e9d-b90c-150789c1a2c8
d161375a-334b-4d13-b311-f66604f0fdf4,18b37052-4535-4649-8fcd-4eacf8603385
281ad12d-b37b-43f7-9152-43a9d3fceb48,18b37052-4535-4649-8fcd-4eacf8603385
5931091f-4c76-42d8-84dc-96bec9e3d597,0e7390a6-cfe1-4564-b522-6494497000cc
76476f3e-5719-48ef-9b7c-6411b7b1a44c,0e7390a6-cfe1-4564-b522-6494497000cc
9659bda8-236b-44ce-a244-e9f32748b7a0,e5be71cf-d991-41ac-996a-f88db567c5f2
14b5a11d-292c-4751-bd24-1b3292c097b5,e5be71cf-d991-41ac-996a-f88db567c5f2
f8136f2e-00f7-4049-8b87-3d7801ab6fd9,3588e7c1-42ed-4cee-b83e-9cf014309b10
fbd32f95-6cc9-4b15-80b1-ff7441aa226a,3588e7c1-42ed-4cee-b83e-9cf014309b10
dde00453-0852-41eb-b978-80a39ef83ad0,1c87ea9e-6023-4c78-8ca8-e1348dc51818
f84ec475-cba0-4525-a786-ccea39b90167,1c87ea9e-6023-4c78-8ca8-e1348dc51818
c1d4eec2-0cdf-4336-870c-12a4f0948fca,1c87ea9e-6023-4c78-8ca8-e1348dc51818
76476f3e-5719-48ef-9b7c-6411b7b1a44c,fac8db87-2002-430e-8540-9e9d25df31aa
ca18dc40-b3bd-4914-ae6d-428820352998,fac8db87-2002-430e-8540-9e9d25df31aa
44cb3279-40b8-4da8-90b7-e43c0b47d9b8,49ec3cfd-da6e-4f56-bd05-0ac67cfc4f34
079a31ff-980f-4958-ae11-8ecf5e6e5813,49ec3cfd-da6e-4f56-bd05-0ac67cfc4f34
