Id,ImdbId,Name
e3d06db3-f21c-44a0-b534-c1ad6e016fd8,nm0001681,George A. Romero
0b0f0fff-597b-4067-b389-94e97b2ffe77,nm0001169,George Dzundza
138f3757-fb7f-4a62-b3ba-d1accd2e01e5,nm0804739,James W. Skotchdopole
30b49861-412f-45de-a91f-942ec1b083d3,nm0140969,Rocky Carroll
320786e8-1ae3-467c-a978-06d16d8edf13,nm0771512,Michael Schiffer
34d689bb-5df1-4d42-9ca0-382ab021a4ec,nm0116717,Eric Bruskotter
491dd518-2162-4f6b-a663-85c9c535d93e,nm0857304,Marcello Thedford
54b87323-bfc2-4254-b60f-72ba953805fc,nm0005401,Ricky Schroder
55dab0a2-2e06-4a71-91d0-dae35e945150,nm0122020,Scott Burkholder
5963d8f3-1165-4231-a39b-611df0de0288,nm0001557,Viggo Mortensen
5e902486-0b7a-4b34-993a-e71709a8fc78,nm0222761,Billy Devlin
60e12202-3567-44c6-97a6-1a10c014ee35,nm0461311,R.J. Knoll
63867167-2161-4d5f-8e50-1c430dd7f5f1,nm0000243,Denzel Washington
6776950e-96c8-487f-b15e-f4e06f0e4676,nm0377543,Richard P. Henrick
67d27f81-c21b-4aa6-bb84-3a142a1e19b3,nm0587379,Michael Milhoan
6ee2c944-7d4c-419a-b582-272f9738a648,nm0001572,Danny Nucci
7ef855c2-f35b-492a-a1b2-c0cd4740d382,nm0287946,Lucas Foster
7f1d3c55-22b0-4c0f-8178-776ca8ba0f9d,nm0595235,Mike Moder
843b322a-6874-4026-a7b0-24bd9274a4e2,nm0000988,Jerry Bruckheimer
93bb67dc-74ab-40ee-970b-cea8a03a6649,nm0000969,Lillo Brancato
991cbf1a-a635-47f0-8b94-89c502a76c0c,nm0002023,Matt Craven
9ffb2d7b-e2b2-48c4-8391-9d1f594fa9b8,nm0001716,Tony Scott
af9ac1de-4f27-46cc-a448-83d1b3c9dc19,nm0004968,Jaime Gomez
c508592f-dc9e-4807-88d3-9d99cd677454,nm0881130,Bill Unger
cffb9da0-5a7e-4b6f-8f7b-daddd8f2545a,nm0001872,Steve Zahn
db478fec-f95e-4e32-aca3-87e1581d7095,nm0000432,Gene Hackman
dbf150ff-ca11-492e-a5fd-eb64b85c8e99,nm0800971,Don Simpson
ed82637a-46e3-4817-a26e-689ecbf2da8d,nm0001254,James Gandolfini
1d1b358f-8a0d-4f7d-87f3-900a4fbcd62c,nm1431612,Billie
26313299-fbd1-40df-97fa-7994ac28349a,nm9232534,Jeffry Batista
2913dee2-7ee7-4483-8580-f0b91eec1122,nm1446444,Corwin C. Tuggles
3a4e1eab-5853-47d5-aebe-4a6a804106fe,nm7449863,Jorge Lendeborg Jr.
40cd1914-0edc-4a09-86b6-6ef64044da7c,nm9553082,Carla Berkowitz
44db52ba-2492-4f80-929b-2b791a1f37dd,nm7623776,Angel Bismark
44e5d53a-ef0e-41bd-8c97-8df7b0a6f9f5,nm6544405,Rachel Bay Jones
4b3818c4-ab02-44d2-8bad-b1fafb3945b2,nm0742586,Scott M. Rosenfelt
5ebaacf2-d407-41db-873b-365dc18cee8b,nm10157183,Sydney Arroyo
75358c74-054c-4bbe-aa17-e8cbc2eb48fc,nm1631845,Ramses Jimenez
7729fa37-be2c-45e6-a6c1-96665034646c,nm10076263,Kizra Deon
82316220-c9c3-4967-8158-1e31eaad19aa,nm0244196,Todd Allen Durkin
87526131-2b43-4f82-8834-de73ff0af358,nm7053706,Isaac Beverly
98d9bb2b-577b-45b1-87b2-d6b6493f0996,nm7263959,Joseph Krutel
