Id,ImdbId,Title
9c865434-3c3f-4000-9997-12282ba323ba,tt6343314,Creed II
b887e4e4-7dbe-4642-b536-9a88922f3793,tt11145118,Creed III
b3e75928-ef00-4b20-89fe-fb25b38db33e,tt0083767,Creepshow
9039cddd-2209-45c5-86b0-155f2a6565a6,tt0112740,Crimson Tide
9873d162-9f3c-4522-a6b0-bbfc30173dc9,tt7870102,Critical Thinking
3cf66b74-9e7a-43fb-b708-a62117ccdbe4,tt1127177,Croc
36aa5b91-45aa-477d-9e72-d864521e8f04,tt0109504,Crooklyn
32cd3447-69cb-4cb1-9885-da1a71af413f,tt0074695,Cross of Iron
c2296b3a-cd0e-4c8b-8cb4-9dfd704773b1,tt0190332,"Crouching Tiger, Hidden Dragon"
0b01727a-73a6-47a9-8f8c-a67ba9d23043,tt0109508,Crumb
5332748d-987d-49db-be86-e079b15300bb,tt0085382,Cujo
2464b88d-85ac-41c7-b02e-41e7f267edf3,tt3280262,Cult of Chucky
fff8a58b-91c5-4135-8628-ce4c20045e2d,tt2230358,Curse of Chucky
fc2ba099-8d4a-4a32-a90b-545bd1b74e24,tt0097138,Cyborg
91713643-5915-42b3-9988-e94ce391b6b8,tt0367631,D.E.B.S.
bd0347c6-ed1c-4453-a773-ae036534dfb1,tt9777644,Da 5 Bloods
47687ed9-de0f-4135-b0a2-8c188b78b852,tt3104930,Da Sweet Blood of Jesus
38a4e3e8-519c-44c5-9c74-5f4904c6b373,tt0264508,Dagon
32a8c8ab-f491-4388-960a-5a65c8f948b5,tt0104237,Damage
94135350-407f-406c-b5ee-335bee7966b4,tt0051516,Damn Yankees
4b1688b7-e439-4814-861f-f195afe6c201,tt1667307,Damsels in Distress
515e18f7-c41e-4e60-9402-7bf548820360,tt0168629,Dancer in the Dark
b52a7120-01e2-439f-bb8f-edcad54944bb,tt3322312,Daredevil
e917e68f-45e3-4850-bbd1-66e092c7edc6,tt0092830,Dark Age
eec2f8ac-4841-4991-95bf-790dcea9721b,tt0118929,Dark City
8e4fca50-933b-43e2-8ea5-ac339b13ccfd,tt0039302,Dark Passage
09c6261c-011c-4f15-8943-ca670a42b154,tt6565702,X-Men: Dark Phoenix
e00224ca-3eef-4dd3-a87e-5c75798605a2,tt0031210,Dark Victory
742637e4-655f-4ba5-b095-56936069aba9,tt0099365,Darkman
5463d034-2616-41ab-9b1e-d8063d8723c4,tt0273517,Darkness
81160b6b-94bc-4495-930d-f7de2d9dad1d,tt11874226,David Byrne's American Utopia
5e00ad12-928b-454e-aa68-d7d4d33b6097,tt0363547,Dawn of the Dead
4d412823-a135-42c6-817b-70147c4a238d,tt0077402,Dawn of the Dead
65bbf879-eaba-460e-b5e4-956e51478831,tt2103281,Dawn of the Planet of the Apes
c8b107fb-d274-4c63-b15a-42dc14c4821e,tt0070460,Day for Night
c136fe13-3230-4b08-b385-0bf2e9483a1e,tt0075913,Day of the Animals
c937dd68-cf4c-4b3a-b17a-2e9216f20231,tt0088993,Day of the Dead
7abbe6ea-be1a-4615-b010-b6b6b1d6f3b4,tt0106677,Dazed and Confused
fe570303-4713-4c3c-ab6d-c7d9a8df0b95,tt0112817,Dead Man
beac33ff-d96a-4059-96fc-cfe1c8bafc86,tt0068457,Dead of Night
e20ab13b-2562-45cd-9b69-b673c9d3d157,tt12923632,Dead Ringers
056cbe02-b3ca-4aff-a411-c98c54dfaccd,tt1667310,Deadfall
46af0c51-df4c-467b-8428-1a79fa23c972,tt0082245,Deadly Blessing
b8982356-74d7-402b-8e49-1b3a862762de,tt0083803,Deadly Games
6932952e-f532-432c-9cf4-a3a96e05d9b3,tt1431045,Deadpool
d2cfe869-8dbc-492c-8f5f-3748bb74fe09,tt5463162,Deadpool 2
11f739ac-a0b3-4b33-9b07-d5547986c3ec,tt0068455,Dealing: Or The Berkeley-to-Boston Forty-Brick Lost-Bag Blues
8896d2f7-b6ce-4435-894c-72afcba7a5c7,tt2235108,Dear White People
fff49fe6-38ad-401a-ac9c-125ec3fa248d,tt0109579,Death and the Maiden
ae043ed0-2b40-41b3-90b8-3c5468161e03,tt0104070,Death Becomes Her
09f7be0a-08c0-45fc-8d58-5d1c83231945,tt0077413,Death on the Nile
c4d1a1f6-e840-405c-8916-bc137c6692a0,tt0089003,Death Wish 3
bd9c1d3d-b7e6-40eb-9245-cd4b67a7a738,tt3705412,Deathgasm
968639d0-e305-46b6-bbba-1d167575916a,tt12477480,Decision to Leave
6aabe80d-563f-4ef7-af31-4289d021f162,tt0120647,Deep Impact
eec73064-a90d-42c8-8e5d-a8ffaf449a3e,tt0073582,Deep Red
e4acd817-0dff-4075-b32d-6c85687fb444,tt0118956,Deep Rising
bc6b41ab-4924-4e56-bd2c-304d4bbfe96c,tt2180339,Deep Water
fb7fd189-1a0c-4f2f-a01e-817f16c4fb10,tt0101698,Defending Your Life
10212998-f695-423e-bcd4-88ebe741703b,tt0101700,Delicatessen
38acb4c4-21df-4187-a4e9-2cfb01035320,tt0056983,Dementia 13
f9331b3c-cb52-445e-8897-d1949bb59a5d,tt0284034,Demonlover
06f7c5e7-4636-4849-a4b1-6b0935d03606,tt0075936,Desperate Living
00b84881-696f-486b-ab7f-68fc88485de0,tt0063172,Destroy All Monsters
