DraftPartId,Position,PlayOrder,MovieId,IssuedByParticipantId
03f09103-ab1d-4933-9a05-989882398807,5,3,4f27afcb-ab55-47af-a4af-db3826835065,c1d4eec2-0cdf-4336-870c-12a4f0948fca
41a12f41-1a13-48f0-975a-a68860b307a5,1,9,031941c1-e6b1-440e-8550-2905cdc67ca2,6cb8b73a-f7b5-411d-b343-e12da3bc89ae
6171d31a-066e-4e62-a689-a56c1c166e4d,7,1,67bc7039-d54b-4dbc-a471-0db2bdd56e33,5931091f-4c76-42d8-84dc-96bec9e3d597
6757b00d-25c4-4167-8d15-fa9a55eba825,5,4,6cbffec9-42e5-42f7-8520-b16043e1f7b7,f7a79ea8-1763-4abd-b549-cf0977d9fe63
a1dfd5ba-352c-4095-a218-a591268e15a6,3,5,6a360db0-a506-4a85-8b66-8236a3d9bae9,d6a2688b-0ea9-4026-8027-4da5af761dd9
018c31f0-32f5-432e-9122-dc8f29d9a997,3,6,0bb71210-90b6-42ea-897b-148387f7e70a,76476f3e-5719-48ef-9b7c-6411b7b1a44c
5f01dc25-b790-4a4b-9b7c-1e6eff5dc696,6,2,d58b6f3c-bfce-4ee5-8485-b9f982c3b6bc,85cf9842-6abe-4e64-8ed4-e6a4f40ecb03
5f01dc25-b790-4a4b-9b7c-1e6eff5dc696,1,8,c6c1c746-0fce-403a-ad0f-6ff2c64734c7,28c02cfb-2949-4f42-b6a3-0a22674837f0
876f4776-6b98-4cd6-aaf3-9334c166d7b4,3,6,b3e75928-ef00-4b20-89fe-fb25b38db33e,27ec6cdc-d643-4274-8df7-7421fb0733b4
25acf1ef-e986-492a-b967-c7e484c31759,2,8,73c64d9c-512e-4bbb-a1da-3be876c233ae,d8c98899-7185-4649-b2a8-a9895af8c5f1
5c40c1c1-f8c0-4e2d-a0be-52f534aff6ea,6,3,571729af-c852-46e7-bdf4-0809a420feea,28c02cfb-2949-4f42-b6a3-0a22674837f0
403c98ff-df0b-4d44-af84-6015e050db83,5,4,8d39bd7f-9d5f-4c4d-a7c8-32a7097f7613,5931091f-4c76-42d8-84dc-96bec9e3d597
0339c306-c42c-47f0-bf1b-67a8ee451cff,4,4,37db2cbe-a76c-49ff-8006-242dbb258bde,2f961c40-15b7-43e9-895f-045fbee2b2e3
