DraftPartId,ParticipantId,ParticipantKind,StartingVetoes,RolloverVeto,RolloverVetoOverride,TriviaVetoes,TriviaVetoOverrides,CommissionerOverrides,VetoesUsed,VetoOverridesUsed
85920bb5-1833-4239-b59d-b92f539af37d,b839bc3d-6d45-4651-a6e0-733c4d363256,0,1,0,0,0,0,0,1,0
85920bb5-1833-4239-b59d-b92f539af37d,369c07e9-dc95-4b86-bfb1-355181fe6942,0,1,0,0,0,0,0,0,0
edc60386-8b58-4d98-a53a-d030557bd8b3,b9a38633-dbf4-45ab-92f8-382677134c29,0,1,0,0,0,0,0,1,0
edc60386-8b58-4d98-a53a-d030557bd8b3,de55fe82-462b-426d-adb4-d36f0c35c220,0,1,0,0,0,0,0,1,0
a9f38779-51ec-40d4-b4ff-d01b073b201c,50c31429-b298-43aa-8afe-1f9d90da93c7,0,1,0,0,0,0,0,1,0
a9f38779-51ec-40d4-b4ff-d01b073b201c,ca490311-4c51-4cde-b177-758fa532dbf6,0,1,0,0,0,0,0,0,0
d47b95ed-4915-44a6-a508-9f8670bc8b35,40fdc3cc-055c-4f02-a327-484e5d994b0e,0,1,0,0,0,0,0,1,0
d47b95ed-4915-44a6-a508-9f8670bc8b35,97a72f60-336b-4f00-945e-091a348c9c6f,0,1,0,0,0,0,0,1,0
6b9e0e38-c133-4fe9-ae44-0d6b9943e8d3,b839bc3d-6d45-4651-a6e0-733c4d363256,0,1,0,0,0,0,0,0,0
6b9e0e38-c133-4fe9-ae44-0d6b9943e8d3,f72912c6-5479-4223-a017-3d892472dfc4,0,1,0,0,0,0,0,1,0
63df0196-1261-40e2-b99b-7565730bcc3a,97a72f60-336b-4f00-945e-091a348c9c6f,0,1,0,0,0,0,0,1,0
63df0196-1261-40e2-b99b-7565730bcc3a,19d9531f-0ae4-4555-9d6a-76b979882080,0,1,0,0,0,0,0,1,0
c1b2cda2-cf68-4501-8590-faa476444075,de55fe82-462b-426d-adb4-d36f0c35c220,0,1,0,0,0,0,0,1,0
c1b2cda2-cf68-4501-8590-faa476444075,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0,1,0,0,0,0,0,0,0
0d8adc91-672c-4346-bbcd-043daa8dfbfb,880cf161-d756-4aad-8b77-ff9481c0a8f8,0,1,0,0,0,0,0,1,0
0d8adc91-672c-4346-bbcd-043daa8dfbfb,c13b24bd-3fc5-48c1-a7a6-53db25707385,0,1,0,0,0,0,0,0,0
71667da2-b9b9-4a5a-bf83-0208694095ca,4eecfb4d-11fa-423e-b420-372a4366c4b3,0,1,0,0,0,0,0,1,0
71667da2-b9b9-4a5a-bf83-0208694095ca,0372db6b-da11-4c3d-8c1b-8e2ed6a1908d,0,1,0,0,0,0,0,1,0
3e90d2dd-9259-4779-aae8-24b313463666,97a72f60-336b-4f00-945e-091a348c9c6f,0,1,0,0,0,0,0,1,0
3e90d2dd-9259-4779-aae8-24b313463666,02b4240f-2a16-4ff9-bac6-6745e1d66e16,0,1,0,0,0,0,0,1,0
da00593e-b65c-4f1a-af3f-9abbb8a96958,ca490311-4c51-4cde-b177-758fa532dbf6,0,1,1,0,0,0,0,1,0
da00593e-b65c-4f1a-af3f-9abbb8a96958,feee6a7d-9b92-4641-8928-1c67da18e93c,0,1,0,0,0,0,0,1,0
cc45603e-b86a-4b9d-b6b7-dec2ea9c8647,cf0b17de-96e2-45e0-b894-0f7596fc83c6,0,1,0,0,0,0,0,1,0
cc45603e-b86a-4b9d-b6b7-dec2ea9c8647,86849390-6f0c-41eb-89d7-4924b76e92ed,0,1,0,0,0,0,0,0,0
c9dc51aa-5ebc-46e0-afd6-7805b6b2e770,b839bc3d-6d45-4651-a6e0-733c4d363256,0,1,1,0,0,0,0,1,0
c9dc51aa-5ebc-46e0-afd6-7805b6b2e770,de55fe82-462b-426d-adb4-d36f0c35c220,0,1,0,0,0,0,0,0,0
c9dc51aa-5ebc-46e0-afd6-7805b6b2e770,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0,1,1,0,0,0,0,1,0
295aec99-6f21-4a41-b4ce-1198a6c75b32,02b4240f-2a16-4ff9-bac6-6745e1d66e16,0,1,0,0,0,0,0,1,0
295aec99-6f21-4a41-b4ce-1198a6c75b32,876fd7a6-5c3d-40c4-9ceb-0e75d5b8908b,0,1,0,0,0,0,0,1,0
