DraftPartId,Position,PlayOrder,MovieId,IssuedByParticipantIdValue,IssuedByParticipantKindValue
85920bb5-1833-4239-b59d-b92f539af37d,5,3,36b7adb3-c31c-415e-a085-ec10fbb12009,b839bc3d-6d45-4651-a6e0-733c4d363256,0
edc60386-8b58-4d98-a53a-d030557bd8b3,2,6,40e03d52-b3a0-49e9-a02a-e6609cd09bf3,b9a38633-dbf4-45ab-92f8-382677134c29,0
edc60386-8b58-4d98-a53a-d030557bd8b3,1,8,4f5e24ae-831a-4d43-9a53-461670dfbcb5,de55fe82-462b-426d-adb4-d36f0c35c220,0
a9f38779-51ec-40d4-b4ff-d01b073b201c,4,4,01240b4c-def0-4123-ad72-2fed109f963b,50c31429-b298-43aa-8afe-1f9d90da93c7,0
d47b95ed-4915-44a6-a508-9f8670bc8b35,5,3,1bfd945a-10bf-4f18-9605-0364b970c73f,40fdc3cc-055c-4f02-a327-484e5d994b0e,0
d47b95ed-4915-44a6-a508-9f8670bc8b35,2,7,e661c27d-2c32-4bb2-8236-c009f5bb6a19,97a72f60-336b-4f00-945e-091a348c9c6f,0
6b9e0e38-c133-4fe9-ae44-0d6b9943e8d3,1,7,2c14a441-8699-4df6-b7e4-deb4a1808575,f72912c6-5479-4223-a017-3d892472dfc4,0
63df0196-1261-40e2-b99b-7565730bcc3a,2,6,49453a28-d0ba-432b-aa4f-c97c97b25d65,19d9531f-0ae4-4555-9d6a-76b979882080,0
63df0196-1261-40e2-b99b-7565730bcc3a,1,8,a981f00a-9134-43e5-9856-3b389937a9ea,97a72f60-336b-4f00-945e-091a348c9c6f,0
c1b2cda2-cf68-4501-8590-faa476444075,2,6,b3ca413c-d6a5-46b4-a867-34d4e1bbb137,de55fe82-462b-426d-adb4-d36f0c35c220,0
0d8adc91-672c-4346-bbcd-043daa8dfbfb,4,4,c18e7d9e-3134-431e-9c2b-f8b9d7595d6e,880cf161-d756-4aad-8b77-ff9481c0a8f8,0
71667da2-b9b9-4a5a-bf83-0208694095ca,2,6,302914c5-4c9a-4e5c-b441-5c2ab090001b,4eecfb4d-11fa-423e-b420-372a4366c4b3,0
71667da2-b9b9-4a5a-bf83-0208694095ca,1,8,949e67db-220c-44fb-bfdc-68143ab487f2,0372db6b-da11-4c3d-8c1b-8e2ed6a1908d,0
3e90d2dd-9259-4779-aae8-24b313463666,6,2,c051d4cd-ed6e-464b-a5ca-52d4cb50a457,02b4240f-2a16-4ff9-bac6-6745e1d66e16,0
3e90d2dd-9259-4779-aae8-24b313463666,1,8,e2f06c5c-ef80-4a5a-a759-9a8f39626311,97a72f60-336b-4f00-945e-091a348c9c6f,0
da00593e-b65c-4f1a-af3f-9abbb8a96958,3,5,1004f1a9-3070-484d-8d35-8b61a7a03978,ca490311-4c51-4cde-b177-758fa532dbf6,0
da00593e-b65c-4f1a-af3f-9abbb8a96958,2,7,9a5daf19-bd43-4a05-9a90-8e9100f86ff7,feee6a7d-9b92-4641-8928-1c67da18e93c,0
cc45603e-b86a-4b9d-b6b7-dec2ea9c8647,5,3,32e9bb8c-9436-4fce-94ff-9e27106cad60,cf0b17de-96e2-45e0-b894-0f7596fc83c6,0
c9dc51aa-5ebc-46e0-afd6-7805b6b2e770,14,4,5f5a60a3-e7d5-4d4d-975e-9710d2d96b5a,b839bc3d-6d45-4651-a6e0-733c4d363256,0
c9dc51aa-5ebc-46e0-afd6-7805b6b2e770,3,16,129e1dbf-5447-438b-8b7d-d4b298616ba2,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0
295aec99-6f21-4a41-b4ce-1198a6c75b32,4,4,3fbf3da7-7cee-498b-a700-8a47ed3521dc,876fd7a6-5c3d-40c4-9ceb-0e75d5b8908b,0
295aec99-6f21-4a41-b4ce-1198a6c75b32,3,6,ba0cf235-7d59-4b11-a8bc-2160234d1e94,02b4240f-2a16-4ff9-bac6-6745e1d66e16,0
a81276ef-0fe0-4445-9d11-d46e33e77c21,4,4,9a664581-d5c4-4a18-b21e-af6aa9a54ee7,ee0e53b4-f5c8-4da0-99f1-fe0c507ec8a3,0
a81276ef-0fe0-4445-9d11-d46e33e77c21,1,8,894f371e-4893-41ae-b869-be413cf0e5d9,8616eea4-ec5f-49dc-95d5-2946e4528f25,0
68f1638a-235c-4834-b812-21892f315abf,6,2,681645ee-209c-4e5f-8a79-9a5aa4736d73,d7ce2878-88ba-4b07-8917-c7fdee5aa4bf,0
feaef851-ea01-4129-9283-5991dc177bef,6,2,efad58b8-d7d1-4d4e-8ca3-c279d7eb3f31,7f9596c5-654e-43d2-b475-a1d4daded31d,0
feaef851-ea01-4129-9283-5991dc177bef,3,6,b8b570cf-9196-409a-9ea7-df7b0b0dfd0b,97a72f60-336b-4f00-945e-091a348c9c6f,0
e4b30269-7bf2-4eb5-9e6a-05c247e4b82f,4,4,50b56f5f-c4b3-4ade-a968-a1a66c49c5ad,1b98c2e8-b479-46bc-915c-0bfeba65a30e,0
e4b30269-7bf2-4eb5-9e6a-05c247e4b82f,3,6,a981f00a-9134-43e5-9856-3b389937a9ea,b839bc3d-6d45-4651-a6e0-733c4d363256,0
1f1c148d-4c05-47fa-a8e1-9ffd5a5cf3e3,6,2,4a9b7864-0e82-4809-8a54-f8999accde2e,106b3def-2899-42a7-8de2-ac9ef5795bec,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,20,2,2fa60360-d460-4c5a-8cd9-2aa8ad7b2d11,de55fe82-462b-426d-adb4-d36f0c35c220,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,17,6,3c023e10-3420-450b-a73f-a600184bb711,de55fe82-462b-426d-adb4-d36f0c35c220,0
d9dbdc8a-a32c-48ab-bfb9-ada827b93590,10,14,6d5e6369-08a0-44c2-ad96-cd16934713d1,09c0f43b-7a56-45a2-8dc9-ea9bd3718915,0
