drafter_team_id,drafter_id
4011c0ac-d296-47e5-b0d3-41d8a07bd7e6,4277c56b-20c1-4f9c-a5dd-d258a45f5742
4011c0ac-d296-47e5-b0d3-41d8a07bd7e6,d0993f92-8575-44bf-8e36-ea23df368c1a
7f7e4c18-ad0a-46d3-9f34-eddc0098884f,82f6b599-7e9d-4720-83ce-d8b05ff4ae67
7f7e4c18-ad0a-46d3-9f34-eddc0098884f,4cd0dd03-17c9-4e37-ac08-02b6b737d8e8
9130805c-ea89-4421-a665-44ec89a0cd39,27e75d64-7589-4134-a908-976a03a9f216
9130805c-ea89-4421-a665-44ec89a0cd39,876fd7a6-5c3d-40c4-9ceb-0e75d5b8908b
645eea9b-6207-4e73-b2c0-333e1002f3b1,90b64669-bbf7-43c9-b758-aa6c4882bb5c
645eea9b-6207-4e73-b2c0-333e1002f3b1,557a3d66-c207-4309-aecc-d3c5bbac7282
8723a5e1-145e-4e11-a7f0-6401296fcae2,09c0f43b-7a56-45a2-8dc9-ea9bd3718915
8723a5e1-145e-4e11-a7f0-6401296fcae2,de55fe82-462b-426d-adb4-d36f0c35c220
5f27ef78-89ee-4484-b285-7269c4fbab6a,b1ca0e66-35f1-4970-8a71-10d7724c5f4e
5f27ef78-89ee-4484-b285-7269c4fbab6a,90ef91ce-59b4-4087-8c4c-5a7afbf2b79c
4f0a9b83-b204-48d4-a2bd-8af590c50d0f,8a3a2891-1add-432a-8a62-caf10031255b
4f0a9b83-b204-48d4-a2bd-8af590c50d0f,60b6ba71-83d8-4ce0-b343-e87bd91030ca
4335a07e-7483-4250-bd7b-8c047f29b69d,e9f17135-d4f9-4abf-b8e9-199ac5c6fa08
4335a07e-7483-4250-bd7b-8c047f29b69d,0f8a84f5-08b2-4548-9e17-835d52f73c1d
6dc338cc-965f-4e18-a936-558ba2b874d0,464534df-ee3c-47d3-83b0-e9b5fed0a4c4
6dc338cc-965f-4e18-a936-558ba2b874d0,de55fe82-462b-426d-adb4-d36f0c35c220
7508c25b-3523-484c-b19e-6ae8092c2f94,70c87021-03b7-4e71-8dd4-814c059af76a
7508c25b-3523-484c-b19e-6ae8092c2f94,012510e6-4e8b-4cf3-8d63-fcbed439d7a4
