drafter,title,year,imdb_id,classification,rt_percent_or_error
Oriana Nudo,Licorice Pizza,2021,tt11271038,FRESH,90
Clay Keller,Small Change,1976,tt0074152,FRESH,90
Ryan Marker,Happiness,1965,tt0058985,FRESH,88
Drea Clark,Maestro,2023,tt5535276,FRESH (TV_API),78
Oriana Nudo,No Time to Die,2021,tt2382320,FRESH,83
Bryan Cogman,No Time to Die,2021,tt2382320,FRESH,83
Clay Keller,Captain Marvel,2019,tt4154664,FRESH,79
Ryan Marker,Gardens of Stone,1987,tt0093073,ROTTEN,41
Darren Franich,Captain America: Civil War,2016,tt3498820,FRESH,90
Billy Ray Brewton,Hoop Dreams,1994,tt0110057,FRESH,98
Ryan Marker,Hoop Dreams,1994,tt0110057,FRESH,98
Clay Keller,Star Trek: Insurrection,1998,tt0120844,ROTTEN,54
Drea Clark,Petite Maman,2021,tt13204490,FRESH,97
Ryan Marker,Lincoln,2012,tt0443272,FRESH,90
Ryan Marker,Touchy Feely,2013,tt2364949,ROTTEN,41
Bryan Cogman,Quatermass and the Pit,1967,tt0062168,FRESH,88
Drea Clark,"Good Morning, Vietnam",1987,tt0093105,FRESH,90
Billy Ray Brewton,Open Range,2003,tt0316356,FRESH,79
Graham Skipper,Godzilla vs. Destoroyah,1995,tt0113187,FRESH,100
Graham Skipper,Godzilla vs. Destoroyah,1995,tt0113187,FRESH,100
Ryan Marker,Damage,1992,tt0104237,FRESH,80
Drea Clark,The Life Aquatic with Steve Zissou,2004,tt0362270,FRESH,73
Darren Franich,Timecode,2000,tt0220100,FRESH,69
Billy Ray Brewton,The Phoenician Scheme,2025,tt30840798,FRESH,77
Darren Franich,Yojimbo,1961,tt0055630,FRESH,96
Ryan Marker,The Ballad of Buster Scruggs,2018,tt6412452,FRESH,90
Clay Keller,The Ballad of Buster Scruggs,2018,tt6412452,FRESH,90
Darren Franich,The Ballad of Buster Scruggs,2018,tt6412452,FRESH,90
Ryan Marker,Hard to Handle: Bob Dylan in Concert,1986,tt0091172,NO_RT_DATA,
Bryan Cogman,Murder She Said,1961,tt0055205,FRESH,89
Clay Keller,The Celebration,1998,tt0154420,FRESH,91
Drea Clark,The Dark Knight Rises,2012,tt1345836,FRESH,87
Clay Keller,Vox Lux,2018,tt5960374,FRESH,62
Clay Keller,Intolerable Cruelty,2003,tt0138524,FRESH,76
Billy Ray Brewton,Pontypool,2008,tt1226681,FRESH,83
Drea Clark,Adaptation.,2002,tt0268126,FRESH,90
Drea Clark,Adaptation.,2002,tt0268126,FRESH,90
Darren Franich,F for Fake,1973,tt0072962,FRESH,88
Oriana Nudo,Double Indemnity,1944,tt0036775,FRESH,97
Graham Skipper,Bad Taste,1987,tt0092610,FRESH,73
Bryan Cogman,The Lady Eve,1941,tt0033804,FRESH,99
Clay Keller,Rushmore,1998,tt0128445,FRESH,90
Drea Clark,Rushmore,1998,tt0128445,FRESH,90
Billy Ray Brewton,Die Hard,1988,tt0095016,FRESH,94
Clay Keller,In Bruges,2008,tt0780536,FRESH,84
Ryan Marker,Escape from New York,1981,tt0082340,FRESH,71
Drea Clark,Escape from New York,1981,tt0082340,FRESH,71
Billy Ray Brewton,New Nightmare,1994,tt0111686,FRESH,78
Graham Skipper,A Midsummer Night's Dream,1999,tt0140379,FRESH (TV_API),66
Darren Franich,Drive,2011,tt0780504,FRESH,93
Darren Franich,Drive,2011,tt0780504,FRESH,93
Billy Ray Brewton,Halloween H20: 20 Years Later,1998,tt0120694,ROTTEN,54
Ryan Marker,The Farewell,2019,tt8637428,FRESH,97
Billy Ray Brewton,Faces of Death,1978,tt0077533,ROTTEN,21
Bryan Cogman,Citizen Kane,1941,tt0033467,FRESH,99
Graham Skipper,Coffee and Cigarettes,2003,tt0379217,FRESH,63
Darren Franich,Spider-Man: Homecoming,2017,tt2250912,FRESH,92
Bryan Cogman,Lethal Weapon,1987,tt0093409,FRESH,82
Clay Keller,Mamma Mia! Here We Go Again,2018,tt6911608,FRESH,80
Clay Keller,Mamma Mia! Here We Go Again,2018,tt6911608,FRESH,80
Darren Franich,X-Men: First Class,2011,tt1270798,FRESH,86
Ryan Marker,Greased Lightning,1977,tt0076106,ROTTEN (TV_API),51
Graham Skipper,Amityville 1992: It's About Time,1992,tt0103678,ROTTEN,45
Bryan Cogman,Mr. Smith Goes to Washington,1939,tt0031679,FRESH,85
Oriana Nudo,Rope,1948,tt0040746,FRESH,93
Graham Skipper,Opening Night,1977,tt0079672,FRESH,96
Ryan Marker,Punch-Drunk Love,2002,tt0272338,FRESH,79
Clay Keller,Iron Man 3,2013,tt1300854,FRESH,79
Clay Keller,John Wick,2014,tt2911666,FRESH,87
Darren Franich,Purple Rain,1984,tt0087957,FRESH,74
Billy Ray Brewton,A Mighty Wind,2003,tt0310281,FRESH,87
Darren Franich,The Paperboy,2012,tt1496422,ROTTEN,45
Ryan Marker,Black Lightning,2018,tt6045840,FRESH (TV_API),92
Clay Keller,92 in the Shade,1975,tt0072594,ROTTEN (TV_API),53
Ryan Marker,Rocky II,1979,tt0079817,FRESH,68
Billy Ray Brewton,The Princess Bride,1987,tt0093779,FRESH,93
Billy Ray Brewton,Collective,2019,tt10706602,FRESH,99
Billy Ray Brewton,Big Trouble in Little China,1986,tt0090728,FRESH,64
Graham Skipper,Stuck,2007,tt0758786,FRESH,73
Ryan Marker,The Best Man,1964,tt0057883,FRESH,100
Drea Clark,The Trouble with Harry,1955,tt0048750,FRESH,88
Clay Keller,Winter's Child,1989,tt0097278,NO_RT_DATA,
Clay Keller,Humpday,2009,tt1334537,FRESH,79
Ryan Marker,The Limey,1999,tt0165854,FRESH,92
Ryan Marker,The Limey,1999,tt0165854,FRESH,92
Drea Clark,Three Amigos!,1986,tt0092086,ROTTEN,44
Darren Franich,Raw,2016,tt4954522,FRESH,92
Clay Keller,The Souvenir: Part II,2021,tt6992978,FRESH,90
Bryan Cogman,The Palm Beach Story,1942,tt0035169,FRESH,94
Oriana Nudo,Paper Moon,1973,tt0070510,FRESH,91
Drea Clark,The Wonderful Story of Henry Sugar and Three More,2024,tt31800329,NO_RT_DATA,
Billy Ray Brewton,Platoon,1986,tt0091763,FRESH,89
Ryan Marker,Batman,1966,tt0059968,FRESH (TV_API),72
Clay Keller,Tigers Are Not Afraid,2023,tt27566554,NO_RT_DATA,
Ryan Marker,Cars 3,2017,tt3606752,FRESH,70
Darren Franich,Scream,2022,tt11245972,FRESH,76
Ryan Marker,The 400 Blows,1959,tt0053198,FRESH,99
Drea Clark,Shakespeare-Wallah,1965,tt0059709,FRESH,89
Bryan Cogman,Shakespeare-Wallah,1965,tt0059709,FRESH,89
Oriana Nudo,A Piece of the Action,1977,tt0076543,FRESH (TV_API),80
Oriana Nudo,Golden Boy,1939,tt0031377,FRESH,83
Darren Franich,The Old Man & the Gun,2018,tt2837574,FRESH,93
Bryan Cogman,Alice Doesn't Live Here Anymore,1974,tt0071115,FRESH,92
Billy Ray Brewton,Minority Report,2002,tt0181689,FRESH,89
Billy Ray Brewton,The Connection,1961,tt0054763,FRESH,95
Billy Ray Brewton,The Thing,2011,tt0905372,ROTTEN,34
Oriana Nudo,The Lady Vanishes,1938,tt0030341,FRESH,98
Drea Clark,Always,1989,tt0096794,FRESH,71
Drea Clark,Peggy Sue Got Married,1986,tt0091738,FRESH,88
Ryan Marker,Peggy Sue Got Married,1986,tt0091738,FRESH,88
Billy Ray Brewton,We Were Soldiers,2002,tt0277434,FRESH,63
Ryan Marker,Star Trek: The Motion Picture,1979,tt0079945,ROTTEN,51
Billy Ray Brewton,Kinsey,2004,tt0362269,FRESH,90
Ryan Marker,Damsels in Distress,2011,tt1667307,FRESH,75
Ryan Marker,Ghost Dog: The Way of the Samurai,1999,tt0165798,FRESH,84
Graham Skipper,King Kong,2005,tt0360717,FRESH,84
Billy Ray Brewton,Radio Flyer,1992,tt0105211,ROTTEN,35
Clay Keller,Cloverfield,2008,tt1060277,FRESH,78
Ryan Marker,Rambling Rose,1991,tt0102753,FRESH,100
Graham Skipper,Dawn of the Dead,1978,tt0077402,FRESH,92
Ryan Marker,The Story of Adele H,1975,tt0073114,FRESH,93
Oriana Nudo,The Age of Innocence,1993,tt0106226,FRESH,88
Drea Clark,Minari,2020,tt10633456,FRESH,98
Billy Ray Brewton,Rising Sun,1993,tt0107969,ROTTEN,32
Billy Ray Brewton,Blazing Saddles,1974,tt0071230,FRESH,89
Bryan Cogman,Blazing Saddles,1974,tt0071230,FRESH,89
Bryan Cogman,Indiana Jones and the Last Crusade,1989,tt0097576,FRESH,84
Billy Ray Brewton,The Faculty,1998,tt0133751,ROTTEN,57
Ryan Marker,RoboCop,1987,tt0093870,FRESH,84
Clay Keller,Paddington,2014,tt1109624,FRESH (TV_API),97
Clay Keller,Love & Friendship,2016,tt3068194,FRESH,96
Darren Franich,X-Men Origins: Wolverine,2009,tt0458525,ROTTEN,37
Billy Ray Brewton,Black Christmas,1974,tt0071222,FRESH,73
Graham Skipper,Black Christmas,1974,tt0071222,FRESH,73
Billy Ray Brewton,Black Christmas,1974,tt0071222,FRESH,73
Ryan Marker,The Story of Temple Drake,1933,tt0024617,FRESH,86
Ryan Marker,The Last Days of Disco,1998,tt0120728,FRESH,74
Darren Franich,Miami Blues,1990,tt0100143,FRESH,86
Billy Ray Brewton,Field of Dreams,1989,tt0097351,FRESH,88
Clay Keller,Demolition Man,1993,tt0106697,FRESH,67
Graham Skipper,Texas Chainsaw Massacre,2022,tt11755740,ROTTEN,31
Graham Skipper,Mission: Impossible,1996,tt0117060,FRESH,66
Billy Ray Brewton,The Exorcist III,1990,tt0099528,FRESH,60
Oriana Nudo,Before Sunrise,1995,tt0112471,FRESH,100
Drea Clark,1941,1979,tt0078723,ROTTEN,37
Graham Skipper,Dancer in the Dark,2000,tt0168629,FRESH,69
Clay Keller,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,1993,tt0107861,FRESH,91
Graham Skipper,Jason Goes to Hell: The Final Friday,1993,tt0107254,ROTTEN,15
Ryan Marker,Your Sister's Sister,2011,tt1742336,FRESH,85
Ryan Marker,Aftersun,2022,tt19770238,FRESH,95
Darren Franich,Furious 7,2015,tt2820852,FRESH,81
Drea Clark,Young and Innocent,1937,tt0029811,FRESH,100
Ryan Marker,Tár,2022,tt14444726,FRESH (TV_API),91
Graham Skipper,The Texas Chainsaw Massacre 2,1986,tt0092076,ROTTEN,50
Bryan Cogman,Dumbo,2019,tt3861390,ROTTEN,46
Bryan Cogman,The Private Lives of Elizabeth and Essex,1939,tt0031826,FRESH,80
Clay Keller,Drop Dead Gorgeous,1999,tt0157503,ROTTEN,47
Bryan Cogman,Taxi Driver,1976,tt0075314,FRESH,89
Oriana Nudo,Happy Accidents,2000,tt0208196,FRESH,69
Graham Skipper,Antony and Cleopatra,1972,tt0068920,NO_RT_DATA,
Drea Clark,Bat*21,1988,tt0094712,FRESH,82
Billy Ray Brewton,Hearts of Darkness: A Filmmaker's Apocalypse,1991,tt0102015,FRESH,100
Billy Ray Brewton,Eight Men Out,1988,tt0095082,FRESH,87
Darren Franich,Star Trek III: The Search for Spock,1984,tt0088170,FRESH,78
Ryan Marker,Sunset Boulevard,1950,tt0043014,FRESH,98
Ryan Marker,The Rainmaker,1997,tt0119978,FRESH,82
Ryan Marker,Man of Steel,2013,tt0770828,ROTTEN,56
Darren Franich,Basic Instinct,1992,tt0103772,ROTTEN,56
Clay Keller,Basic Instinct,1992,tt0103772,ROTTEN,56
Graham Skipper,King Kong,1976,tt0074751,NO_RT_DATA,
Ryan Marker,The Last Black Man in San Francisco,2019,tt4353250,FRESH,93
Ryan Marker,The Last Black Man in San Francisco,2019,tt4353250,FRESH,93
Oriana Nudo,Mildred Pierce,2011,tt1492030,NO_RT_DATA,
Billy Ray Brewton,The Big Chill,1983,tt0085244,FRESH,70
Billy Ray Brewton,The Zone of Interest,2023,tt7160372,FRESH,93
Bryan Cogman,Twins of Evil,1971,tt0069427,FRESH,79
Ryan Marker,The Gift,2015,tt4178092,FRESH,91
Ryan Marker,Inside Llewyn Davis,2013,tt2042568,FRESH,92
Clay Keller,Inside Llewyn Davis,2013,tt2042568,FRESH,92
Clay Keller,The Man Who Loved Women,1977,tt0076155,FRESH,82
Drea Clark,Personal Velocity,2002,tt0295238,FRESH,69
Ryan Marker,Black Panther,2018,tt1825683,FRESH,96
Darren Franich,Black Panther,2018,tt1825683,FRESH,96
Billy Ray Brewton,Tremors II: Aftershocks,1996,tt0114720,FRESH,64
Bryan Cogman,Four's a Crowd,1938,tt0030151,ROTTEN (TV_API),57
Bryan Cogman,The King of Comedy,1982,tt0085794,FRESH,89
Darren Franich,Back to the Future Part III,1990,tt0099088,FRESH,79
Graham Skipper,The Red Shoes,1948,tt0040725,FRESH,98
Oriana Nudo,Miracle on 34th Street,1994,tt0110527,ROTTEN,59
Oriana Nudo,The Philadelphia Story,1940,tt0032904,FRESH,100
Bryan Cogman,Help!,1965,tt0059260,FRESH,86
Billy Ray Brewton,Eraserhead,1977,tt0074486,FRESH,87
Ryan Marker,The Heiress,1949,tt0041452,FRESH,100
Ryan Marker,The Prestige,2006,tt0482571,FRESH,76
Ryan Marker,Oliver!,1968,tt0063385,FRESH,90
Darren Franich,The 4th Man,1983,tt0086543,FRESH,100
Billy Ray Brewton,Extremely Loud & Incredibly Close,2011,tt0477302,ROTTEN,45
Ryan Marker,Election,1999,tt0126886,FRESH,92
Darren Franich,The Fall,2006,tt0460791,FRESH,64
Oriana Nudo,Singin' in the Rain,1952,tt0045152,FRESH,100
Clay Keller,American Psycho,2000,tt0144084,FRESH,69
Billy Ray Brewton,Bubba Ho-Tep,2002,tt0281686,FRESH,78
Billy Ray Brewton,Friday the 13th: The Final Chapter,1984,tt0087298,ROTTEN,25
Ryan Marker,Professor Marston & the Wonder Women,2017,tt6133130,FRESH,87
Clay Keller,REC,2007,tt1038988,FRESH,90
Darren Franich,REC,2007,tt1038988,FRESH,90
Bryan Cogman,Macbeth,1971,tt0067372,FRESH,78
Ryan Marker,McCabe & Mrs. Miller,1971,tt0067411,FRESH,85
Clay Keller,"Late August, Early September",1998,tt0167925,FRESH,79
Clay Keller,Runaway,1984,tt0088024,ROTTEN,48
Bryan Cogman,Invasion of the Body Snatchers,1978,tt0077745,FRESH,93
Graham Skipper,The Wonderful Ice Cream Suit,1998,tt0129634,FRESH,80
Clay Keller,Mission: Impossible II,2000,tt0120755,ROTTEN (TV_API),58
Drea Clark,Howards End,1992,tt0104454,FRESH,94
Darren Franich,Dawn of the Planet of the Apes,2014,tt2103281,FRESH,91
Ryan Marker,Dr. Jekyll and Mr. Hyde,1931,tt0022835,FRESH,91
Billy Ray Brewton,The Grey Fox,1982,tt0085622,FRESH,100
Oriana Nudo,Two for the Road,1967,tt0062407,FRESH,82
Oriana Nudo,Bonjour Tristesse,1958,tt0051429,FRESH,84
Darren Franich,Barry Lyndon,1975,tt0072684,FRESH,78
Bryan Cogman,All Night Long,1962,tt0054614,FRESH (TV_API),70
Bryan Cogman,A Hard Day's Night,1964,tt0058182,FRESH,98
Bryan Cogman,A Hard Day's Night,1964,tt0058182,FRESH,98
Darren Franich,Ocean's Eleven,2001,tt0240772,FRESH,83
Darren Franich,Deadpool,2016,tt1431045,FRESH,85
Ryan Marker,Snowpiercer,2013,tt1706620,FRESH,94
Drea Clark,"Quo Vadis, Aida?",2020,tt8633462,FRESH,100
Billy Ray Brewton,Nomadland,2020,tt9770150,FRESH,93
Clay Keller,Logan,2017,tt3315342,FRESH,93
Ryan Marker,Bed & Board,1970,tt0065651,FRESH,75
Bryan Cogman,Almost Famous,2000,tt0181875,FRESH,91
Clay Keller,Men in Black,1997,tt0119654,FRESH,91
Ryan Marker,Men in Black,1997,tt0119654,FRESH,91
Clay Keller,Men in Black,1997,tt0119654,FRESH,91
Clay Keller,Bad Influence,1990,tt0099091,FRESH,68
Darren Franich,The BFG,2016,tt3691740,FRESH,74
Billy Ray Brewton,Tremors: Shrieker Island,2020,tt8322060,ROTTEN,50
Darren Franich,Captain America: The First Avenger,2011,tt0458339,FRESH,80
Ryan Marker,Burn After Reading,2008,tt0887883,FRESH,78
Billy Ray Brewton,Young@Heart,2007,tt1047007,FRESH,90
Bryan Cogman,Annie Hall,1977,tt0075686,FRESH,97
Darren Franich,Dodes'ka-den,1970,tt0065649,FRESH,73
Graham Skipper,Rare Exports,2010,tt1401143,FRESH,89
Bryan Cogman,Witness for the Prosecution,1957,tt0051201,FRESH,100
Oriana Nudo,Witness for the Prosecution,1957,tt0051201,FRESH,100
Billy Ray Brewton,Born on the Fourth of July,1989,tt0096969,FRESH,84
Bryan Cogman,Hamlet,1948,tt0040416,FRESH,96
Clay Keller,Speak,2004,tt0378793,FRESH,80
Darren Franich,The Machinist,2004,tt0361862,FRESH,77
Bryan Cogman,Ran,1985,tt0089881,FRESH,96
Billy Ray Brewton,Prayer of the Rollerboys,1990,tt0102703,FRESH (TV_API),65
Ryan Marker,Schizopolis,1996,tt0117561,FRESH,70
Clay Keller,Twister,1996,tt0117998,FRESH,68
Clay Keller,Beat the Devil,2002,tt0338768,NO_RT_DATA,
Clay Keller,The Report,2019,tt8236336,FRESH,83
Bryan Cogman,Harper,1966,tt0060490,FRESH,95
Ryan Marker,Beyond Therapy,1987,tt0092646,ROTTEN,17
Clay Keller,The Night House,2020,tt9731534,FRESH,81
Clay Keller,About Time,2013,tt2194499,FRESH,70
Bryan Cogman,Mission: Impossible - Ghost Protocol,2011,tt1229238,FRESH,93
Bryan Cogman,Hombre,1967,tt0061770,FRESH,94
Graham Skipper,They Live,1988,tt0096256,FRESH,86
Darren Franich,Tricked,2012,tt2171875,ROTTEN,38
Oriana Nudo,Session 9,2001,tt0261983,FRESH,68
Ryan Marker,Wendy and Lucy,2008,tt1152850,FRESH,85
Oriana Nudo,The Heartbreak Kid,1972,tt0068687,FRESH,92
Ryan Marker,Carlos,2010,tt1321865,FRESH (TV_API),93
Clay Keller,Body Heat,1981,tt0082089,FRESH,96
Clay Keller,Body Heat,1981,tt0082089,FRESH,96
Billy Ray Brewton,Pelle the Conqueror,1987,tt0093713,FRESH,84
Darren Franich,Destry Rides Again,1939,tt0031225,FRESH,96
Clay Keller,The End of the Tour,2015,tt3416744,FRESH,92
Clay Keller,Summer Hours,2008,tt0836700,FRESH,94
Clay Keller,Summer Hours,2008,tt0836700,FRESH,94
Clay Keller,The Stranger's Return,1933,tt0024620,ROTTEN (TV_API),57
Clay Keller,Paddington 2,2017,tt4468740,FRESH,99
Clay Keller,Star Trek: First Contact,1996,tt0117731,FRESH,93
Darren Franich,Star Trek: First Contact,1996,tt0117731,FRESH,93
Billy Ray Brewton,Star Trek: First Contact,1996,tt0117731,FRESH,93
Oriana Nudo,Lost in Translation,2003,tt0335266,FRESH,95
Bryan Cogman,The Green Knight,2021,tt9243804,FRESH,88
Drea Clark,The Terminal,2004,tt0362227,FRESH,61
Graham Skipper,Krampus,2015,tt3850590,FRESH,67
Darren Franich,Elle,2016,tt3716530,FRESH,91
Clay Keller,Final Destination: Bloodlines,2025,tt9619824,FRESH,92
Drea Clark,A League of Their Own,1992,tt0104694,FRESH,82
Drea Clark,Pig,2021,tt11003218,FRESH,97
Bryan Cogman,Topsy-Turvy,1999,tt0151568,FRESH,90
Oriana Nudo,Fractured,2019,tt4332232,ROTTEN,56
Billy Ray Brewton,Metallica: Some Kind of Monster,2004,tt0387412,FRESH,88
Bryan Cogman,Sleeping Beauty,2011,tt1588398,ROTTEN,48
Ryan Marker,Night Moves,2013,tt2043933,FRESH,86
Bryan Cogman,The Muppet Christmas Carol,1992,tt0104940,FRESH,78
Graham Skipper,The Adventures of Ichabod and Mr. Toad,1949,tt0041094,FRESH,89
Darren Franich,Eyes Wide Shut,1999,tt0120663,FRESH,77
Darren Franich,The Great Silence,1968,tt0063032,FRESH,100
Billy Ray Brewton,Needful Things,1993,tt0107665,ROTTEN,33
Ryan Marker,American Graffiti,1973,tt0069704,FRESH,95
Bryan Cogman,American Graffiti,1973,tt0069704,FRESH,95
Ryan Marker,David Byrne's American Utopia,2020,tt11874226,FRESH,97
Drea Clark,Moonrise Kingdom,2012,tt1748122,FRESH,93
Bryan Cogman,Moonrise Kingdom,2012,tt1748122,FRESH,93
Clay Keller,Slow West,2015,tt3205376,FRESH,92
Drea Clark,Slow West,2015,tt3205376,FRESH,92
Darren Franich,The Naked Spur,1953,tt0044953,FRESH,100
Graham Skipper,Oldboy,2003,tt0364569,FRESH,82
Clay Keller,Notting Hill,1999,tt0125439,FRESH,84
Clay Keller,28 Years Later,2025,tt10548174,FRESH,88
Ryan Marker,Close Encounters of the Third Kind,1977,tt0075860,FRESH,91
Ryan Marker,Brewster McCloud,1970,tt0065492,FRESH,87
Ryan Marker,Charlie Wilson's War,2007,tt0472062,FRESH,82
Bryan Cogman,Touch of Evil,1958,tt0052311,FRESH,96
Ryan Marker,That Cold Day in the Park,1969,tt0065086,ROTTEN,50
Clay Keller,Back to the Future Part II,1989,tt0096874,FRESH,63
Ryan Marker,Back to the Future Part II,1989,tt0096874,FRESH,63
Clay Keller,The French Dispatch,2021,tt8847712,FRESH,75
Billy Ray Brewton,Dick Johnson Is Dead,2020,tt11394180,FRESH,99
Billy Ray Brewton,Tuesday,2023,tt14682800,FRESH,76
Graham Skipper,Star Wars: Episode V - The Empire Strikes Back,1980,tt0080684,FRESH,93
Clay Keller,True Grit,2010,tt1403865,FRESH,95
Clay Keller,True Grit,2010,tt1403865,FRESH,95
Ryan Marker,True Grit,2010,tt1403865,FRESH,95
Oriana Nudo,What a Way to Go!,1964,tt0058743,ROTTEN,31
Billy Ray Brewton,The Eight Mountains,2022,tt14641542,FRESH,91
Billy Ray Brewton,I Declare War,2012,tt2133239,FRESH,71
Clay Keller,Doctor Sleep,2019,tt5606664,FRESH,79
Darren Franich,Wild Things,1998,tt0120890,FRESH,65
Graham Skipper,Rounders,1998,tt0128442,FRESH,63
Bryan Cogman,Marathon Man,1976,tt0074860,FRESH,82
Ryan Marker,Quintet,1979,tt0079770,ROTTEN,27
Clay Keller,Young Adult,2011,tt1625346,FRESH,80
Clay Keller,Sea of Love,1989,tt0098273,FRESH,76
Graham Skipper,Creature from the Black Lagoon,1954,tt0046876,FRESH,81
Ryan Marker,Ace in the Hole,1951,tt0043338,FRESH,88
Bryan Cogman,The Rain People,1969,tt0064873,FRESH,88
Billy Ray Brewton,Quiz Show,1994,tt0110932,FRESH,97
Graham Skipper,Transsiberian,2008,tt0800241,FRESH,91
Darren Franich,Starship Troopers,1997,tt0120201,FRESH,72
Graham Skipper,The Monster Squad,1987,tt0093560,ROTTEN,53
Billy Ray Brewton,Dirty Dancing,1987,tt0092890,FRESH,73
Graham Skipper,"Honey, I Shrunk the Kids",1989,tt0097523,FRESH,76
Ryan Marker,October Sky,1999,tt0132477,FRESH,90
Ryan Marker,Harry and the Hendersons,1987,tt0093148,ROTTEN,50
Drea Clark,The Lost Daughter,2021,tt9100054,FRESH,94
Ryan Marker,Three Identical Strangers,2018,tt7664504,FRESH,96
Drea Clark,Away from Her,2006,tt0491747,FRESH,94
Billy Ray Brewton,The Town That Dreaded Sundown,2014,tt2561546,FRESH,66
Clay Keller,Breakdown,1997,tt0118771,FRESH,83
Billy Ray Brewton,Mission: Impossible - Fallout,2018,tt4912910,FRESH,98
Ryan Marker,Mission: Impossible - Fallout,2018,tt4912910,FRESH,98
Ryan Marker,X-Men,2000,tt0120903,FRESH,82
Oriana Nudo,Dark Passage,1947,tt0039302,FRESH,90
Darren Franich,The Hateful Eight,2015,tt3460252,FRESH,74
Billy Ray Brewton,Carrie,1976,tt0074285,FRESH,94
Drea Clark,Three Colors: Red,1994,tt0111495,FRESH,100
Oriana Nudo,Three Colors: Red,1994,tt0111495,FRESH,100
Billy Ray Brewton,The Goonies,1985,tt0089218,FRESH,77
Billy Ray Brewton,The Goonies,1985,tt0089218,FRESH,77
Darren Franich,San Andreas,2015,tt2126355,ROTTEN,48
Oriana Nudo,Only Angels Have Wings,1939,tt0031762,FRESH,100
Billy Ray Brewton,The Last Exorcism,2010,tt1320244,FRESH,71
Billy Ray Brewton,Signs,2002,tt0286106,FRESH,76
Billy Ray Brewton,Fantastic Mr. Fox,2009,tt0432283,FRESH,93
Ryan Marker,The Banshees of Inisherin,2022,tt11813216,FRESH,96
Ryan Marker,The Banshees of Inisherin,2022,tt11813216,FRESH,96
Clay Keller,Letters from Iwo Jima,2006,tt0498380,FRESH,91
Ryan Marker,Letters from Iwo Jima,2006,tt0498380,FRESH,91
Ryan Marker,Wildlife,2018,tt5929754,FRESH,94
Ryan Marker,Star Trek II: The Wrath of Khan,1982,tt0084726,FRESH,87
Drea Clark,Moonstruck,1987,tt0093565,FRESH,90
Clay Keller,Us,2019,tt6857112,FRESH,93
Clay Keller,Us,2019,tt6857112,FRESH,93
Billy Ray Brewton,Us,2019,tt6857112,FRESH,93
Oriana Nudo,Killers of the Flower Moon,2023,tt5537002,FRESH,93
Ryan Marker,Rocky IV,1985,tt0089927,ROTTEN,38
Graham Skipper,The Omen,1976,tt0075005,FRESH,76
Billy Ray Brewton,The Omen,1976,tt0075005,FRESH,76
Ryan Marker,Eternal Sunshine of the Spotless Mind,2004,tt0338013,FRESH,93
Ryan Marker,Felicia's Journey,1999,tt0165773,FRESH,88
Drea Clark,Sweet Land,2005,tt0428038,FRESH,85
Ryan Marker,The Other Side of the Mirror: Bob Dylan at the Newport Folk Festival,2007,tt1134837,FRESH (TV_API),100
Drea Clark,Decision to Leave,2022,tt12477480,FRESH,94
Clay Keller,Christine,2016,tt4666726,FRESH,88
Billy Ray Brewton,Butch Cassidy and the Sundance Kid,1969,tt0064115,FRESH,89
Clay Keller,Personal Shopper,2016,tt4714782,FRESH,81
Clay Keller,Personal Shopper,2016,tt4714782,FRESH,81
Ryan Marker,Personal Shopper,2016,tt4714782,FRESH,81
Oriana Nudo,Dolemite Is My Name,2019,tt8526872,FRESH,97
Oriana Nudo,The Lost Man,1969,tt0064602,ROTTEN (TV_API),56
Ryan Marker,Mulholland Drive,2001,tt0166924,FRESH,83
Clay Keller,China Moon,1994,tt0109417,ROTTEN,40
Billy Ray Brewton,Critical Thinking,2020,tt7870102,FRESH,97
Drea Clark,Women Talking,2022,tt13669038,FRESH,90
Graham Skipper,Romeo + Juliet,1996,tt0117509,FRESH,75
Clay Keller,Back to the Future,1985,tt0088763,FRESH,93
Ryan Marker,Back to the Future,1985,tt0088763,FRESH,93
Darren Franich,The Avengers,2012,tt0848228,FRESH,91
Graham Skipper,Sleepaway Camp,1983,tt0086320,FRESH,82
Oriana Nudo,Bringing Up Baby,1938,tt0029947,FRESH,97
Bryan Cogman,Mary Poppins,1964,tt0058331,FRESH,95
Darren Franich,The Call,2013,tt1911644,ROTTEN,44
Ryan Marker,Rocky Balboa,2006,tt0479143,FRESH,78
Bryan Cogman,Assassins,1995,tt0112401,ROTTEN,18
Billy Ray Brewton,Coma,1978,tt0077355,FRESH,81
Graham Skipper,King Kong vs. Godzilla,1963,tt0056142,ROTTEN,52
Clay Keller,The Souvenir,2019,tt6920356,FRESH,90
Ryan Marker,Creed II,2018,tt6343314,FRESH,83
Darren Franich,Django,1966,tt0060315,FRESH,94
Oriana Nudo,We're No Angels,1989,tt0098625,ROTTEN,48
Ryan Marker,HealtH,1980,tt0079256,ROTTEN (TV_API),31
Billy Ray Brewton,A Poem Is a Naked Person,1974,tt0424359,FRESH,88
Clay Keller,Metropolitan,1989,tt0100142,FRESH,94
Billy Ray Brewton,Monty Python's Life of Brian,1979,tt0079470,FRESH,96
Ryan Marker,"One Sings, the Other Doesn't",1977,tt0076855,FRESH,65
Clay Keller,Booksmart,2019,tt1489887,FRESH,96
Drea Clark,Booksmart,2019,tt1489887,FRESH,96
