drafter,title,year,imdb_id,classification,rt_percent_or_error
Billy Ray Brewton,Stand by Me,1986,tt0092005,FRESH,89
Billy Ray Brewton,Evil Dead Rise,2023,tt13345606,FRESH,85
Billy Ray Brewton,Barb and Star Go to Vista Del Mar,2021,tt3797512,FRESH,81
Darren Franich,Unforgiven,1992,tt0105695,FRESH,96
Ryan Marker,Unforgiven,1992,tt0105695,FRESH,96
Ryan Marker,Midsommar,2019,tt8772262,FRESH,83
Drea Clark,Sing Sing,2023,tt28479262,FRESH,97
Oriana Nudo,A Child Is Waiting,1963,tt0056930,FRESH,92
Billy Ray Brewton,Fancy Dance,2023,tt21813994,FRESH,96
Darren Franich,The Immortal Story,1968,tt0063127,FRESH (TV_API),92
Clay Keller,The Woman Next Door,1981,tt0082370,FRESH,85
Darren Franich,Blade,1998,tt0120611,ROTTEN,59
Darren Franich,Thor: Ragnarok,2017,tt3501632,FRESH,93
Darren Franich,Ready Player One,2018,tt1677720,FRESH,71
Ryan Marker,The Cowboys,1972,tt0068421,FRESH,75
Clay Keller,The Worst Person in the World,2021,tt10370710,FRESH,96
Ryan Marker,Passing,2021,tt8893974,FRESH,91
Bryan Cogman,The Roaring Twenties,1939,tt0031867,FRESH,100
Clay Keller,Raising Arizona,1987,tt0093822,FRESH,91
Drea Clark,Raising Arizona,1987,tt0093822,FRESH,91
Clay Keller,Asteroid City,2023,tt14230388,FRESH,76
Billy Ray Brewton,Asteroid City,2023,tt14230388,FRESH,76
Billy Ray Brewton,The Dead Zone,1983,tt0085407,FRESH,89
Billy Ray Brewton,Ad Astra,2019,tt2935510,FRESH,83
Bryan Cogman,Othello,1951,tt0045251,FRESH,87
Graham Skipper,Independence Day,1996,tt0116629,FRESH,77
Clay Keller,Independence Day,1996,tt0116629,FRESH,77
Graham Skipper,Halloween,2007,tt0373883,ROTTEN,28
Oriana Nudo,Autumn Sonata,1978,tt0077711,FRESH,85
Darren Franich,"Roman J. Israel, Esq.",2017,tt6000478,ROTTEN,55
Clay Keller,Poor Things,2023,tt14230458,FRESH,92
Drea Clark,No Other Land,2024,tt30953759,FRESH,100
Bryan Cogman,Raiders of the Lost Ark,1981,tt0082971,FRESH,94
Darren Franich,Strays,2023,tt15153532,ROTTEN (TV_API),54
Billy Ray Brewton,Insidious,2010,tt1591095,FRESH,66
Clay Keller,West Side Story,2021,tt3581652,FRESH,91
Darren Franich,The Fast and the Furious: Tokyo Drift,2006,tt0463985,ROTTEN,37
Ryan Marker,The Manchurian Candidate,1962,tt0056218,FRESH,96
Ryan Marker,All We Imagine as Light,2024,tt32086077,FRESH,100
Drea Clark,All of Us Strangers,2023,tt21192142,FRESH,96
Graham Skipper,Trick 'r Treat,2007,tt0862856,FRESH,82
Clay Keller,Beautiful Girls,1996,tt0115639,FRESH,78
Clay Keller,The Wolverine,2013,tt1430132,FRESH,71
Darren Franich,The Death of Stalin,2017,tt4686844,FRESH,94
Ryan Marker,Thelma,2024,tt23778968,FRESH,98
Ryan Marker,12 Monkeys,2015,tt3148266,FRESH (TV_API),88
Drea Clark,Pulp Fiction,1994,tt0110912,FRESH,92
Darren Franich,Pulp Fiction,1994,tt0110912,FRESH,92
Clay Keller,Irma Vep,2022,tt13649314,FRESH (TV_API),95
Drea Clark,Zodiac,2007,tt0443706,FRESH,90
Billy Ray Brewton,The Naked Gun: From the Files of Police Squad!,1988,tt0095705,FRESH,88
Ryan Marker,Star Trek: Generations,1994,tt0111280,ROTTEN,48
Billy Ray Brewton,Society of the Snow,2023,tt16277242,FRESH,90
Ryan Marker,The French Connection,1971,tt0067116,FRESH,97
Drea Clark,All the Beauty and the Bloodshed,2022,tt21374850,FRESH,95
Clay Keller,Intermission,2003,tt0332658,FRESH,74
Billy Ray Brewton,A Nightmare on Elm Street 4: The Dream Master,1988,tt0095742,ROTTEN,56
Billy Ray Brewton,Zero Day,2002,tt0365960,FRESH,68
Darren Franich,War for the Planet of the Apes,2017,tt3450958,FRESH,94
Billy Ray Brewton,Limbo,2023,tt21833834,FRESH,91
Bryan Cogman,To the Devil a Daughter,1976,tt0075334,ROTTEN,45
Ryan Marker,The Russians Are Coming the Russians Are Coming,1966,tt0060921,FRESH,83
Graham Skipper,The Texas Chain Saw Massacre,1974,tt0072271,FRESH,85
Darren Franich,Chimes at Midnight,1965,tt0059012,FRESH,96
Bryan Cogman,Chimes at Midnight,1965,tt0059012,FRESH,96
Ryan Marker,The Fall Guy,2024,tt1684562,FRESH,81
Billy Ray Brewton,Old Henry,2021,tt12731980,FRESH,94
Oriana Nudo,Shadow of a Doubt,1943,tt0036342,FRESH,100
Bryan Cogman,Scrooged,1988,tt0096061,FRESH,72
Ryan Marker,This Is Spinal Tap,1984,tt0088258,FRESH,98
Billy Ray Brewton,Ghostbusters: Afterlife,2021,tt4513678,FRESH,63
Darren Franich,Out of Sight,1998,tt0120780,FRESH,94
Bryan Cogman,Out of Sight,1998,tt0120780,FRESH,94
Clay Keller,Mad Max: Fury Road,2015,tt1392190,FRESH,97
Drea Clark,The House of Yes,1997,tt0119324,FRESH,61
Graham Skipper,Inside,2023,tt14781036,NO_RT_DATA,
Billy Ray Brewton,Oppenheimer,2023,tt15398776,FRESH,93
Clay Keller,A Haunting in Venice,2023,tt22687790,FRESH,75
Bryan Cogman,The Adventures of Robin Hood,1938,tt0029843,FRESH,100
Clay Keller,The Taste of Things,2023,tt19760052,FRESH,97
Graham Skipper,Terror of Mechagodzilla,1975,tt0073373,ROTTEN,43
Darren Franich,Zombie,1979,tt0080057,ROTTEN,45
Billy Ray Brewton,Climax,2018,tt8359848,FRESH,69
Graham Skipper,The Lawnmower Man,1992,tt0104692,ROTTEN,35
Darren Franich,Mission: Impossible - Dead Reckoning Part One,2023,tt9603212,FRESH,96
Graham Skipper,Godzilla: Final Wars,2004,tt0399102,ROTTEN,54
Drea Clark,Past Lives,2023,tt13238346,FRESH,95
Ryan Marker,Still Alice,2014,tt3316960,FRESH,85
Billy Ray Brewton,A Quiet Place: Day One,2024,tt13433802,FRESH,86
Darren Franich,Kingdom of the Planet of the Apes,2024,tt11389872,FRESH,80
Billy Ray Brewton,The Perks of Being a Wallflower,2012,tt1659337,FRESH,85
Drea Clark,The Eternal Daughter,2022,tt13874422,FRESH,95
Drea Clark,The Eternal Daughter,2022,tt13874422,FRESH,95
Ryan Marker,Creed,2015,tt3076658,FRESH,95
Drea Clark,A Different Man,2024,tt21097228,FRESH,93
Billy Ray Brewton,The Piano Lesson,2024,tt15507512,FRESH,88
Billy Ray Brewton,Polyester,1981,tt0082926,FRESH,93
Ryan Marker,A Serious Man,2009,tt1019452,FRESH,89
Darren Franich,A Serious Man,2009,tt1019452,FRESH,89
Ryan Marker,X-Men: Days of Future Past,2014,tt1877832,FRESH,90
Darren Franich,Jennifer's Body,2009,tt1131734,ROTTEN,47
Clay Keller,Jennifer's Body,2009,tt1131734,ROTTEN,47
Oriana Nudo,The Beguiled,2017,tt5592248,FRESH,79
Ryan Marker,The New Mutants,2020,tt4682266,ROTTEN,36
Bryan Cogman,The Master,2012,tt1560747,FRESH,85
Clay Keller,Please Give,2010,tt0878835,FRESH,85
Clay Keller,Ant-Man,2015,tt0478970,FRESH,83
Ryan Marker,Nixon,1995,tt0113987,FRESH,76
Drea Clark,The Boys Next Door,1985,tt0090770,ROTTEN (TV_API),52
Billy Ray Brewton,Kagemusha: The Shadow Warrior,1980,tt0080979,FRESH,89
Billy Ray Brewton,The Sisters Brothers,2018,tt4971344,FRESH,87
Graham Skipper,Friday the 13th,1980,tt0080761,FRESH,70
Drea Clark,Mom and Dad,2017,tt5462326,FRESH,74
Billy Ray Brewton,A Nightmare on Elm Street: The Dream Child,1989,tt0097981,ROTTEN,32
Bryan Cogman,Tomorrow Never Dies,1997,tt0120347,ROTTEN,58
Bryan Cogman,Kiss Me Deadly,1955,tt0048261,FRESH,98
Ryan Marker,Flight of the Navigator,1986,tt0091059,FRESH,85
Clay Keller,Speed,1994,tt0111257,FRESH,95
Oriana Nudo,To Kill a Mockingbird,1962,tt0056592,FRESH,93
Darren Franich,The Pacifier,2005,tt0395699,ROTTEN,21
Ryan Marker,The Virgin Suicides,1999,tt0159097,FRESH,80
Clay Keller,Bad Blood,1986,tt0091497,FRESH,85
Ryan Marker,Batwoman,2019,tt8712204,FRESH (TV_API),83
Graham Skipper,The Invisible Man,1933,tt0024184,FRESH,95
Clay Keller,Cold Water,1994,tt0109702,FRESH,100
Oriana Nudo,The Innocents,2021,tt4028464,FRESH,95
Billy Ray Brewton,Maverick,1994,tt0110478,FRESH,67
Darren Franich,Dolores Claiborne,1995,tt0109642,FRESH,87
Oriana Nudo,Mean Streets,1973,tt0070379,FRESH,92
Darren Franich,Bone Tomahawk,2015,tt2494362,FRESH,91
Ryan Marker,Mission: Impossible - Rogue Nation,2015,tt2381249,FRESH,94
Clay Keller,The Emperor's New Groove,2000,tt0120917,FRESH,86
Oriana Nudo,The Verdict,1982,tt0084855,FRESH,88
Bryan Cogman,Gold Diggers of 1933,1933,tt0024069,FRESH,100
Darren Franich,The Tree of Life,2011,tt0478304,FRESH,86
Bryan Cogman,The Long Goodbye,1973,tt0070334,FRESH,93
Bryan Cogman,Dr. No,1962,tt0055928,FRESH,95
Bryan Cogman,Clouds of Sils Maria,2014,tt2452254,FRESH,91
Clay Keller,Clouds of Sils Maria,2014,tt2452254,FRESH,91
Ryan Marker,Clouds of Sils Maria,2014,tt2452254,FRESH,91
Ryan Marker,Clouds of Sils Maria,2014,tt2452254,FRESH,91
Ryan Marker,The Housemaid,1960,tt0150980,FRESH,100
Clay Keller,Frequency,2000,tt0186151,FRESH,70
Clay Keller,Frequency,2000,tt0186151,FRESH,70
Billy Ray Brewton,The Hills Have Eyes,2006,tt0454841,ROTTEN,51
Drea Clark,Zola,2020,tt5439812,FRESH,88
Ryan Marker,The Abominable Snowman,1957,tt0050095,ROTTEN (TV_API),55
Ryan Marker,Days of Thunder,1990,tt0099371,ROTTEN,38
Graham Skipper,Next Stop Wonderland,1998,tt0119778,FRESH,73
Graham Skipper,The Silent Hour,2024,tt22874848,FRESH,68
Ryan Marker,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,tt7713068,FRESH,79
Clay Keller,The Bourne Identity,2002,tt0258463,FRESH,84
Drea Clark,Bottoms,2023,tt17527468,FRESH,91
Billy Ray Brewton,Blade Runner,1982,tt0083658,FRESH,89
Bryan Cogman,Blade Runner,1982,tt0083658,FRESH,89
Graham Skipper,Halloween 4: The Return of Michael Myers,1988,tt0095271,ROTTEN,43
Bryan Cogman,The Beatles: Get Back - The Rooftop Concert,2022,tt16899584,FRESH,100
Billy Ray Brewton,The Fly,1986,tt0091064,FRESH,93
Bryan Cogman,Hannah and Her Sisters,1986,tt0091167,FRESH,92
Darren Franich,A Clockwork Orange,1971,tt0066921,FRESH,86
Ryan Marker,Bob Dylan: Dont Look Back,1967,tt0061589,FRESH,92
Clay Keller,The Wild Child,1970,tt0064285,FRESH,100
