"id","movie_title","imdb_id"
de0ab382-8b07-45ae-b2a8-94fcf52f67f5,Diamonds Are Forever,tt0066995
e158dca8-65fb-4a9e-a981-bd3f1f0e1221,Dick,tt0144168
"8530a0a3-6028-493f-a00c-c6f09072c338",Dick Johnson Is Dead,tt11394180
"3411c3fa-c825-4855-af53-c239ad541975",Die Another Day,tt0246460
"80223d58-62df-488d-bfe8-ea178ae586ae",Die Hard,tt0095016
"55cea3df-8272-433d-8009-9b73ae4f13f4",Die Hard with a Vengeance,tt0112864
e65e6e4a-ec00-48f4-8293-0d277e551ea9,Dinocroc,tt0365653
"6ab929c7-0247-4668-9b7c-03f977d13357",Dirty Dancing,tt0092890
"8b3f88e4-1f93-4d81-b094-0c548214a549",Dirty Pretty Things,tt0301199
e61b9905-227d-42eb-bf3f-7e1f1013149a,Dirty Rotten Scoundrels,tt0095031
"3d3a9858-8dea-4fcf-ae1e-c95d78fde850",Disappearing Acts,tt0243220
"6e894cd3-a90d-4198-a803-716de6bede15",Disaster Movie,tt1213644
"1d48fb9d-eb1d-4efb-b566-e3ab768b2830",Disclosure,tt0109635
"98be5330-64f7-452e-87c8-867199b319c9",Disorder,tt4085084
"27366ca0-4d0b-4fc0-8bb9-2e576b74081f",Django,tt0060315
"43408bcd-855e-4a81-8209-7fd5cba95309","Django Kill... If You Live, Shoot!",tt0062082
"2a919327-371d-4dfa-a1bc-74cff2e90ad5",Django Unchained,tt1853728
"69ae7a36-35d9-4a59-8eb6-2ce262492c73",Doctor Sleep,tt5606664
"163f2182-e00c-4a45-8486-1bb437e52339",Doctor Strange,tt1211837
"70e5bb56-870d-4e61-b9a3-76084f10b652",Doctor Strange in the Multiverse of Madness,tt9419884
"2c83f1e0-dfea-4ad1-abf0-9129f081eef8",Dodes'ka-den,tt0065649
a6632392-dbbf-4017-8480-ff78232f3e8d,Dolemite Is My Name,tt8526872
"394c9b84-8d52-4919-a97f-bb15a0e7eaca",Dominion: Prequel to the Exorcist,tt0449086
"6df3e393-af84-451e-90ce-a3baaff93db7",Bob Dylan: Dont Look Back,tt0061589
"41b01928-e9e6-46b7-8240-e6b3864e4f14",Don't Torture a Duckling,tt0069019
"5c39c2e3-4d7f-4b7f-8fa6-c78390dde435",Double Impact,tt0101764
c9dd58c5-e3a9-4c7f-96f7-502121e1c5ee,Double Indemnity,tt0036775
d8081b82-c1cb-499a-9098-8d28ba7ec889,Doubt,tt0918927
"1dabc616-dac5-4367-b111-4e3fefd37df0",Downhill,tt4558376
"94d81bc5-2835-4a99-b4fd-b499ac5d330e",Dr Jekyll & Sister Hyde,tt0068502
ac04dc21-3d35-4751-a15a-708288ffb0a9,Dr. No,tt0055928
"4206d2c5-850b-485a-ad52-0bd2dd3f58b6",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012
"4422f480-c65b-4248-811f-457fb643d24a",Dr. T & the Women,tt0205271
"22806f6b-f2e2-438a-9422-6d00597d3d8d",Dracula,tt9139220
fd7b14f6-e5f4-41ed-b2ae-4ec116888f38,Dracula A.D. 1972,tt0068505
"24c1f232-fe53-43f7-abd8-f7eccdef6c60",Drag Me to Hell,tt1127180
"8269e930-1efe-46e6-acb4-3868101a35f5",Dragonslayer,tt0082288
c85fa6f8-8e9f-4de6-96a1-104f3cc6c75c,Driftwood,tt0112904
ad3a00bb-274a-468e-8972-86b8405e5ee7,Drive,tt0780504
"9ac8a19d-6eab-4736-b058-46d1069aac1c",Drive Angry,tt1502404
f08277f5-8087-475e-b705-b89a39859d7a,Drop Dead Gorgeous,tt0157503
"77c878ce-15ef-4485-b4ae-e5cd859b7390",Drop Zone,tt0109676
"20536488-8c01-4dec-86fa-96ec4afeae22",Dudes,tt0092933
bf53b4a3-143c-4c22-864d-7cfdbf8e3ecd,Duel,tt0067023
"3fcd7344-e788-4e1b-ac42-94c33e91d1ee",Dumb and Dumber,tt0109686
"34da89a3-9bed-4332-9c5e-65441a1ff8a8",Dumbo,tt3861390
"116f87fc-2d64-4055-929b-95852f9da1a6",E.T. the Extra-Terrestrial,tt0083866
"8e3f25de-ab2b-403c-b7f5-7e83b8aeaa8d",Easy Living,tt0041328
ec0b5df2-a714-495e-8131-a747e91e6c56,Eat the Document,tt0233629
c96d3ba8-1b19-41a8-b224-a45b9298700b,Eaten Alive,tt0074455
ab29357e-2c9c-4915-85e6-60f3a517ca07,Ed Wood,tt0109707
"9e8d536d-c6c9-4ef8-a3ba-9f9c2b8bb60f",Eddie Murphy: Delirious,tt0085474
"20a48a1a-69fe-4af9-a97e-5add443d872e",Edmond,tt0443496
da81540b-b2b2-4973-9d15-128edbdd30d3,Edward Scissorhands,tt0099487
c4e47363-9f3f-47d3-8d22-cbccea56fab7,Eight Men Out,tt0095082
"59761efe-d05f-4908-bc27-bc9896ed18ae",Eighth Grade,tt7014006
"7bcefd1b-a81a-4331-838d-15f7bc2ce9f9",Eileen,tt5198890
f1f96b02-27fe-4302-b479-ea49092bfc7f,El Mariachi,tt0104815
ab4f81ab-ebcf-4cd1-ade8-1c9a969faf08,Election,tt0126886
dae81708-1b1e-4b5e-a45b-60e18a0db205,Elizabeth,tt0127536
c5f5db8c-f317-49f4-884a-419faa366365,Emma Mae,tt0074477
c7ee27cd-f8be-4bbe-88d1-125b1d87e794,Emma.,tt9214832
"91d13567-c770-49b8-88d8-46536b4dd834",Emperor of the North,tt0070030
"1d51af60-6b8a-4012-a4b5-5ba6ce37279a",Empire of the Sun,tt0092965
"6a3628e0-0fb8-46e1-8225-5345d7564802",Encanto,tt2953050
b3e10974-fedc-48b5-a35b-8e0435c1ddff,Enchanted,tt0461770
"75b27d0c-421d-4bb2-9372-d3aeace9df6a",Endless Night,tt0067052
