"table_schema","table_name","column_name","data_type","is_nullable","column_default"
drafts,draft_hosts,draft_id,uuid,NO,
drafts,draft_hosts,host_id,uuid,NO,
drafts,draft_hosts,role,integer,NO,
drafts,draft_parts,id,uuid,NO,
drafts,draft_parts,draft_id,uuid,NO,
drafts,draft_parts,part_index,integer,NO,
drafts,draft_positions,id,uuid,NO,
drafts,draft_positions,game_board_id,uuid,NO,
drafts,draft_positions,name,character varying,NO,
drafts,draft_positions,picks,text,NO,
drafts,draft_positions,has_bonus_veto,boolean,NO,
drafts,draft_positions,has_bonus_veto_override,boolean,NO,
drafts,draft_positions,drafter_id,uuid,YES,
drafts,draft_positions,drafter_team_id,uuid,YES,
drafts,drafter_draft_stats,id,uuid,NO,
drafts,drafter_draft_stats,drafter_id,uuid,YES,
drafts,drafter_draft_stats,draft_id,uuid,NO,
drafts,drafter_draft_stats,starting_vetoes,integer,NO,"1"
drafts,drafter_draft_stats,commissioner_overrides,integer,NO,
drafts,drafter_draft_stats,trivia_vetoes,integer,NO,
drafts,drafter_draft_stats,trivia_veto_overrides,integer,YES,
drafts,drafter_draft_stats,drafter_team_id,uuid,YES,
drafts,drafter_draft_stats,rollover_veto,integer,NO,"0"
drafts,drafter_draft_stats,rollover_veto_override,integer,YES,
drafts,drafter_draft_stats,veto_overrides_used,integer,YES,
drafts,drafter_draft_stats,vetoes_used,integer,NO,"0"
drafts,drafts,id,uuid,NO,
drafts,drafts,readable_id,integer,NO,
drafts,drafts,title,character varying,NO,
drafts,drafts,draft_type,integer,NO,
drafts,drafts,total_picks,integer,NO,
drafts,drafts,total_drafters,integer,NO,
drafts,drafts,total_drafter_teams,integer,NO,
drafts,drafts,total_hosts,integer,NO,
drafts,drafts,episode_number,integer,YES,
drafts,drafts,draft_status,integer,NO,
drafts,drafts,created_at_utc,timestamp with time zone,NO,
drafts,drafts,updated_at_utc,timestamp with time zone,YES,
drafts,drafts,description,text,YES,
drafts,drafts,series_id,uuid,YES,
drafts,drafts_drafters,draft_id,uuid,NO,
drafts,drafts_drafters,drafter_id,uuid,NO,
drafts,game_boards,id,uuid,NO,
drafts,game_boards,draft_id,uuid,NO,
drafts,picks,id,uuid,NO,
drafts,picks,position,integer,NO,
drafts,picks,movie_id,uuid,NO,
drafts,picks,drafter_id,uuid,YES,
drafts,picks,draft_id,uuid,NO,
drafts,picks,drafter_team_id,uuid,YES,
drafts,picks,play_order,integer,NO,"0"
drafts,rollover_veto_overrides,id,uuid,NO,
drafts,rollover_veto_overrides,drafter_id,uuid,YES,
drafts,rollover_veto_overrides,from_draft_id,uuid,NO,
drafts,rollover_veto_overrides,to_draft_id,uuid,YES,
drafts,rollover_veto_overrides,is_used,boolean,NO,
drafts,rollover_veto_overrides,drafter_team_id,uuid,YES,
drafts,rollover_vetoes,id,uuid,NO,
drafts,rollover_vetoes,drafter_id,uuid,YES,
drafts,rollover_vetoes,from_draft_id,uuid,NO,
drafts,rollover_vetoes,to_draft_id,uuid,YES,
drafts,rollover_vetoes,is_used,boolean,NO,
drafts,rollover_vetoes,drafter_team_id,uuid,YES,
drafts,trivia_results,id,uuid,NO,
drafts,trivia_results,draft_id,uuid,NO,
drafts,trivia_results,drafter_id,uuid,YES,
drafts,trivia_results,position,integer,NO,
drafts,trivia_results,questions_won,integer,NO,
drafts,trivia_results,drafter_team_id,uuid,YES,
drafts,veto_overrides,id,uuid,NO,
drafts,veto_overrides,veto_id,uuid,NO,
drafts,veto_overrides,drafter_id,uuid,YES,
drafts,veto_overrides,drafter_team_id,uuid,YES,
drafts,vetoes,id,uuid,NO,
drafts,vetoes,drafter_id,uuid,YES,
drafts,vetoes,drafter_team_id,uuid,YES,
drafts,vetoes,pick_id,uuid,NO,'00000000-0000-0000-0000-000000000000'::uuid
