"id","readable_id","title","draft_type","total_picks","total_drafters","total_hosts","episode_number","draft_status","created_at_utc","updated_at_utc","is_patreon_only","episode_type"
"9e1aead0-9444-4b57-a760-9399e459324f",230,Will Smith,0,7,2,2,"172",3,2025-03-20 11:55:42.295 -0400,,false,0
"9e4ea79d-06a2-4059-b675-907fefdba0ca",231,Kubrick,0,7,2,2,"20",3,2025-03-20 11:55:41.672 -0400,,false,0
"9e68da34-c600-4477-b9f4-a653195d80da",232,"2023 Mega Draft",2,20,4,1,"268",3,2025-03-20 11:55:42.842 -0400,,false,0
"9e8ec8c2-3e37-45d5-b15f-36ce2d385a4c",233,Independent Spirit Best First Feature Award Winners,0,7,2,2,"221",3,2025-03-20 11:55:42.546 -0400,,false,0
"9eed423e-9b49-4df0-be28-dcc13d192a05",234,Creature Features,0,7,2,2,"32",3,2025-03-20 11:55:41.703 -0400,,false,0
a06de0ef-9dd9-4e95-b746-eee555a46209,235,Queer Comedy,0,7,2,2,"265",3,2025-03-20 11:55:42.825 -0400,,false,0
a0a2003a-7dbe-438a-b0d1-b9b2995438f6,236,Natalie Wood,0,7,2,2,"139",3,2025-03-20 11:55:42.116 -0400,,false,0
a1458d15-50c8-42b8-8572-0385762fd7bb,237,The American President,0,7,2,1,"102",3,2025-03-20 11:55:41.946 -0400,,false,0
a14f7fe1-d922-43db-8592-de864ea32c7d,238,Scorsese Produced mini-Mega,1,11,3,2,"264",3,2025-03-20 11:55:42.818 -0400,,false,0
a15f3b54-c4a9-4168-90bf-aeb75709a411,239,Coen Brothers Super Draft,3,18,2,1,"84",3,2025-03-20 11:55:41.879 -0400,,false,0
a1a80bde-a8e5-489a-9686-105428346147,240,Godzilla mini-Mega,1,13,4,2,"201",3,2025-03-20 11:55:42.433 -0400,,false,0
a1ae0567-295b-49b1-9cdb-7982ae2f4bb7,241,George Lucas,0,7,2,2,"122",3,2025-03-20 11:55:42.030 -0400,,false,0
a2996d89-a1f5-4787-a015-02bdcce42e6a,242,Patricia Highsmith,0,7,2,2,"296",3,2025-03-20 11:55:43.034 -0400,,false,0
a32e9a91-13c7-4789-b853-4a610839cb11,243,Razzie Worst Picture Winners,0,7,2,2,"161",3,2025-03-20 11:55:42.244 -0400,,false,0
a3af5e5f-8253-4789-b063-96cf72fb1a9f,244,Jean-Claude Van Damme,0,7,2,2,"288",3,2025-03-20 11:55:42.975 -0400,,false,0
a414bf88-022e-4477-b540-e8f9dd5a2198,245,"2020 Mega Draft",2,20,4,1,"128",3,2025-03-20 11:55:42.062 -0400,,false,0
a47f095c-c610-4ae4-8eff-97bcb2216936,246,Akira Kurosawa,0,7,2,2,"208",3,2025-03-20 11:55:42.470 -0400,,false,0
a541bcbf-2aa9-4041-b755-1c66f24c1c7a,247,Actor's Directorial Debuts,0,7,2,1,"42",3,2025-03-20 11:55:41.732 -0400,,false,0
a5b6e01d-652d-4c62-b0a0-fb63a1fe46a0,248,"21st Century Best Actress Winning Films",0,7,2,2,"130",3,2025-03-20 11:55:42.071 -0400,,false,0
a61c241e-0a83-4a8c-b8a6-e0ed65c6fdaf,249,Kristen Stewart,0,7,2,0,"57",3,2025-03-20 11:55:41.777 -0400,,false,0
a6ccedc4-3cff-4f11-a6a7-8c5980d4c95e,250,Michael Mann Super Draft,3,13,3,2,"291",3,2025-03-20 11:55:42.996 -0400,,false,0
a70d94ec-c731-4393-90d6-be67157e49f9,251,Scream mini-Super Draft,4,5,2,0,"31",3,2025-03-20 11:55:43.405 -0400,,true,1
a944f5f2-9720-45af-b4dd-d22cd7ee4548,252,Queer Romance,0,7,2,2,"35",3,2025-03-20 11:55:41.711 -0400,,false,0
a94ff1de-cc8e-4ccf-9e48-e752ea46f3be,253,"Retired"" Soderbergh Super Draft",0,7,2,2,"192",3,2025-03-20 11:55:42.389 -0400,,false,0
a9eaa47d-caff-47af-9639-4bd07ff6f7ab,254,"70's Horror Mega Part I",2,20,4,2,"93",3,2025-03-20 11:55:41.910 -0400,,false,0
aae9100d-b444-4575-bcb7-8a6e8e44d33e,255,Bookstore & Library Movies,0,7,4,1,"297",3,2025-03-20 11:55:43.042 -0400,,false,0
ab834549-248e-4c81-88a2-646b3fe9b360,256,Summer Camp,0,7,2,2,"1",3,2025-03-20 11:55:43.756 -0400,,true,5
abd08141-672b-4650-8c86-7f238b07c6eb,257,Orson Welles,0,7,2,2,"182",3,2025-03-20 11:55:42.341 -0400,,false,0
abe81814-7839-42fc-b461-9312eb2e5f66,258,Halloween Super Draft,3,13,4,2,"254",3,2025-03-20 11:55:42.734 -0400,,false,0
ac36c542-787f-48e6-95a9-d79cc88de1ce,259,Pirates of the Caribbean mini-Super Draft,4,5,2,0,"2",3,2025-03-20 11:55:43.163 -0400,,true,1
ac646e2b-695f-49bf-a1ca-96733a276c00,260,Retail Hell,0,7,2,2,"289",3,2025-03-20 11:55:42.982 -0400,,false,0
acda82f4-aa5f-43a6-b781-25bfd8eaa989,261,Teenage Mutant Ninja Turtles mini-Super Draft,4,5,2,0,"27",3,2025-03-20 11:55:43.374 -0400,,true,1
adef7572-0ec8-45e4-98d7-8234c47da753,262,Greta Gerwig,0,7,2,2,"248",3,2025-03-20 11:55:42.695 -0400,,false,0
af94653a-7ec8-47cf-9c05-037af2294e9f,263,"2010s Directorial Debuts",0,7,2,2,"133",3,2025-03-20 11:55:42.086 -0400,,false,0
b059ef55-b4e1-4ea0-8b56-dbc47bf30bdc,264,Kelly Reichardt Super Draft,0,7,2,1,"126",3,2025-03-20 11:55:42.052 -0400,,false,0
b0dc6fb3-b195-4d74-9a14-ca5f0c4ccdb3,265,The Cold War,0,7,2,1,"68",3,2025-03-20 11:55:41.814 -0400,,false,0
b1047431-1b4a-4820-9f06-ec266f765c65,266,M. Night Shyamalan Super Draft,0,7,4,2,"181",3,2025-03-20 11:55:42.337 -0400,,false,0
b26c0a97-9810-4053-9f08-2e9648df2f04,267,Aquatic Horror,0,7,2,2,"114",3,2025-03-20 11:55:41.995 -0400,,false,0
b26f8417-f7ab-499e-b387-f4519bdde220,268,Aaron Sorkin Super Draft,3,10,3,2,"273",3,2025-03-20 11:55:42.873 -0400,,false,0
b29ebfe9-3ff0-4faa-93a6-5e35a09af3fe,269,Angela Bassett,0,7,2,2,"285",3,2025-03-20 11:55:42.953 -0400,,false,0
b2f9426f-71df-464d-8bee-4a9583500ce2,270,Jack Ryan mini-Super Draft,4,5,2,0,"7",3,2025-03-20 11:55:43.198 -0400,,true,1
b39e3a9e-2bb8-43a1-b5b0-635e58db9aa4,271,TV Continuations,0,7,2,2,"137",3,2025-03-20 11:55:42.106 -0400,,false,0
b403c58c-203e-4697-be46-7c9ae419696f,272,George Clooney,0,7,2,2,"243",3,2025-03-20 11:55:42.667 -0400,,false,0
b414f042-3178-461f-8afe-0012000dbb8e,273,Classic Disney Live Action Adventure,0,7,2,2,"120",3,2025-03-20 11:55:42.021 -0400,,false,0
b44db869-7523-42ca-b98f-dc0dcb79d269,274,Barry Levinson's Baltimore mini-Super Draft,4,5,2,0,"30",3,2025-03-20 11:55:43.396 -0400,,true,1
