"id","readable_id","title","draft_type","episode_type","total_picks","total_drafters","total_drafter_teams","total_hosts","episode_number","draft_status","created_at_utc","updated_at_utc","is_patreon_only","non_canonical"
f3185436-63da-46e3-84e6-aad5c0cc300c,364,Bourne mini-Super Draft,4,1,5,2,0,0,"1",3,2025-03-28 07:16:16.599 -0400,,true,false
f3f8f799-d395-4e53-97f2-7514d0daf536,365,Serial Killer,0,0,7,2,0,2,"157",3,2025-03-28 07:16:16.572 -0400,,false,false
f45ccefe-c158-4bd1-8803-31a229f78c10,366,Star Trek Super Draft,3,0,13,4,0,2,"62",3,2025-03-28 07:16:16.554 -0400,,false,false
f4eff735-1f2c-46ed-aca5-d9c3b0d0de91,367,'80s Fantasy,0,0,7,2,0,2,"18",3,2025-03-28 07:16:16.544 -0400,,false,false
f592eefe-cca9-47be-b89a-bd28c20ec5c0,368,Directors' Final Films,0,0,7,2,0,3,"198",3,2025-03-28 07:16:16.579 -0400,,false,false
f6c55a58-801e-4e32-81e2-b98c4e4ba58b,369,Heavy Metal,0,0,7,2,0,2,"86",3,2025-03-28 07:16:16.558 -0400,,false,false
f6cd9fef-24ad-41a7-911d-e1f6067d56b7,370,John Waters,0,0,7,2,0,2,"188",3,2025-03-28 07:16:16.577 -0400,,false,false
f87ee4f2-ccf1-4969-9eac-7dc9be5dce62,371,"1998 mini-Mega Draft",1,0,13,4,0,1,"249",3,2025-03-28 07:16:16.587 -0400,,false,false
f88a3cde-d149-4e94-92ef-953dc03edbe3,372,Mixtape Movies,0,0,7,2,0,2,"31",3,2025-03-28 07:16:16.546 -0400,,false,false
f8d983c0-4d4f-4fa3-aa7b-42ab877bf01c,373,Post-Apocalypse,0,0,7,2,0,1,"70",3,2025-03-28 07:16:16.555 -0400,,false,false
f980e0d9-2ecc-4352-8198-6875f836fec5,374,"Retired"" Soderbergh Super Draft",0,0,7,2,0,2,"192",3,2025-03-28 07:16:16.578 -0400,,false,false
faab1d5b-7e9a-41ac-a0fc-aa7f3a5f7fc2,375,Jane Austen,0,0,7,2,0,2,"147",3,2025-03-28 07:16:16.570 -0400,,false,false
fac8db87-2002-430e-8540-9e9d25df31aa,376,Twist Endings,0,0,7,2,0,2,"15",3,2025-03-28 07:16:16.544 -0400,,false,false
faf5fb50-3452-4aa6-8517-7629ec5846ed,377,Screenwriters' Directorial Debuts,0,0,7,2,0,2,"244",3,2025-03-28 07:16:16.586 -0400,,false,false
fc029407-d1a4-4962-bc96-9a28cd93c173,378,Twilight mini-Super Draft,4,1,5,2,0,1,"3",3,2025-03-28 07:16:16.600 -0400,,false,false
fd794b27-df5c-4ea8-93e2-72e27d4e0756,379,Spoofs,0,0,7,2,0,2,"36",3,2025-03-28 07:16:16.547 -0400,,false,false
fdab7eef-e486-4c11-bcff-a7f37874bab7,380,Con Artist,0,0,7,2,0,2,"89",3,2025-03-28 07:16:16.559 -0400,,false,false
fe026bfc-6e2c-493d-9197-497d1288161c,381,Texas Chainsaw Massacre Super Draft,3,0,9,2,0,3,"315",3,2025-03-28 07:16:16.615 -0400,,false,false
fe602d29-5351-41ff-9ee4-589051c13728,382,Adult Animation,0,0,7,2,0,2,"166",3,2025-03-28 07:16:16.574 -0400,,false,false
fe806757-3b4e-49d0-98ac-12970faffa7c,383,Jukebox Musicals,0,0,7,2,0,2,"233",3,2025-03-28 07:16:16.585 -0400,,false,false
fe8d1f9c-c915-498a-8ce8-089383df55a5,384,Humphrey Bogart,0,0,7,2,0,2,"33",3,2025-03-28 07:16:16.547 -0400,,false,false
ff363d88-a497-4362-804b-a2c9511d666f,385,Shakespeare: Part I Mini-Mega,1,0,11,3,0,2,"96",3,2025-03-28 07:16:16.560 -0400,,false,false
fff98f66-b2ec-495b-a49b-9d5a671e8c24,386,High School Horror mini-Mega,1,0,13,4,0,1,"207",3,2025-03-28 07:16:16.581 -0400,,false,false
